"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","6025","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12174","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18149","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","199348","0.0-3.0","1920x1080","12:56 14/10/2022","","","","","",""
"","","","","","survey-html-form","4","214833","0.0-4.0","1920x1080","","15481.299999982119","{""age"":""18"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","293225","0.0-5.0","1920x1080","","78390.90000000596","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","293225","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","330432","0.0-7.0","1920x1080","","37205.59999999404","21.30","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","8","345784","0.0-8.0","1920x1080","","15351.40000000596","8.60","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","356336","0.0-9.0","1920x1080","","10550.5","15","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","10","363720","0.0-10.0","1920x1080","","7383.5999999940395","57.94","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","372553","0.0-11.0","1920x1080","","8831.699999988079","82.67","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","377585","0.0-12.0","1920x1080","","5031.0999999940395","52","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","385913","0.0-13.0","1920x1080","","8327.09999999404","38.10","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","14","389393","0.0-14.0","1920x1080","","3479.5","70","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","15","396897","0.0-15.0","1920x1080","","7503.0999999940395","22.75","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","16","400488","0.0-16.0","1920x1080","","3590.7999999821186","7.14","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","407265","0.0-17.0","1920x1080","","6775.5999999940395","39","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","18","411104","0.0-18.0","1920x1080","","3838.5999999940395","36.24","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","19","413854","0.0-19.0","1920x1080","","2751.2999999821186","34.39","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","20","418222","0.0-20.0","1920x1080","","4367.299999982119","53.31","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","21","422918","0.0-21.0","1920x1080","","4695","98","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","22","430286","0.0-22.0","1920x1080","","7367.699999988079","21","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","23","433654","0.0-23.0","1920x1080","","3367.0999999940395","31","img/314/4/0.66667/bw/001.png","","","complex"
