"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","26891","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","53745","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","80792","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","235256","0.0-3.0","1920x1080","9:11 17/10/2022","","","","","",""
"","","","","","survey-html-form","4","247570","0.0-4.0","1920x1080","","12311.600000023842","{""age"":""18"",""gender"":""male""}","","","",""
"","","","","","html-button-response","5","321711","0.0-5.0","1920x1080","","73927.10000002384","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","321711","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","339214","0.0-7.0","1920x1080","","17502","50","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","8","348302","0.0-8.0","1920x1080","","9086.900000035763","2.25","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","351950","0.0-9.0","1920x1080","","3647.2000000476837","60.71","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","10","357494","0.0-10.0","1920x1080","","5542.899999976158","11.77","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","11","360294","0.0-11.0","1920x1080","","2799.199999988079","15.87","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","12","365238","0.0-12.0","1920x1080","","4943.699999988079","86.11","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","369150","0.0-13.0","1920x1080","","3911.099999964237","96","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","374932","0.0-14.0","1920x1080","","5630.600000023842","0.00","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","15","382404","0.0-15.0","1920x1080","","7471.800000011921","6.35","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","16","389285","0.0-16.0","1920x1080","","6879.400000035763","0","img/314/5.5/1/bw/001.png","","","complex"
