"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","33125","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","63741","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","95004","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","99867","0.0-3.0","1920x1080","10:57 17/10/2022","","","","","",""
"","","","","","survey-html-form","4","109303","0.0-4.0","1920x1080","","9433.199999988079","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","159031","0.0-5.0","1920x1080","","49726.69999998808","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","159031","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","168030","0.0-7.0","1920x1080","","8996.300000011921","87.83","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","8","176918","0.0-8.0","1920x1080","","8886.899999976158","99","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","182185","0.0-9.0","1920x1080","","5263.400000035763","27.51","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","10","190057","0.0-10.0","1920x1080","","7871.200000047684","32","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","199121","0.0-11.0","1920x1080","","9063.300000011921","48","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","12","205785","0.0-12.0","1920x1080","","6663.399999976158","11.51","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","13","213513","0.0-13.0","1920x1080","","7727.300000011921","9.39","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","14","222361","0.0-14.0","1920x1080","","8847.5","26","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","15","226042","0.0-15.0","1920x1080","","3679.600000023842","47.62","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","16","230481","0.0-16.0","1920x1080","","4438.799999952316","28.31","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","17","234857","0.0-17.0","1920x1080","","4375.300000011921","61.64","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","242257","0.0-18.0","1920x1080","","7375.5","50.53","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","19","246617","0.0-19.0","1920x1080","","4358.5","30.16","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","20","252450","0.0-20.0","1920x1080","","5832.899999976158","75.40","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","21","259201","0.0-21.0","1920x1080","","6749.699999988079","65.74","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","22","264145","0.0-22.0","1920x1080","","4943.699999988079","33.20","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","23","270985","0.0-23.0","1920x1080","","6838.800000011921","13.49","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","280537","0.0-24.0","1920x1080","","9551.199999988079","57.94","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","283601","0.0-25.0","1920x1080","","3063.400000035763","69.58","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","26","286921","0.0-26.0","1920x1080","","3319.199999988079","32.14","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","27","292777","0.0-27.0","1920x1080","","5855.200000047684","0","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","296866","0.0-28.0","1920x1080","","4088.300000011921","13.36","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","29","302808","0.0-29.0","1920x1080","","5918","25.13","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","30","307016","0.0-30.0","1920x1080","","4207.199999988079","61.38","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","31","311200","0.0-31.0","1920x1080","","4183.800000011921","73.81","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","32","316184","0.0-32.0","1920x1080","","4983.100000023842","2.78","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","33","321696","0.0-33.0","1920x1080","","5510.900000035763","25.66","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","34","326648","0.0-34.0","1920x1080","","4950.800000011921","0.93","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","35","331680","0.0-35.0","1920x1080","","5031.800000011921","12.30","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","36","336424","0.0-36.0","1920x1080","","4743","25.93","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","37","344448","0.0-37.0","1920x1080","","8023.800000011921","50.13","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","38","349424","0.0-38.0","1920x1080","","4975","24.47","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","39","354528","0.0-39.0","1920x1080","","5103.100000023842","71.56","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","40","357657","0.0-40.0","1920x1080","","3127.800000011921","4.89","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","41","361162","0.0-41.0","1920x1080","","3478.800000011921","66.40","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","42","365050","0.0-42.0","1920x1080","","3886.699999988079","2.78","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","43","369394","0.0-43.0","1920x1080","","4343.599999964237","8.60","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","44","374906","0.0-44.0","1920x1080","","5510.899999976158","35.58","img/238/5.5/1.5/bw/001.png","","","complex"
