"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","31584","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","62087","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","93698","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","99123","0.0-3.0","1920x1080","12:1 17/10/2022","","","","","",""
"","","","","","survey-html-form","4","109969","0.0-4.0","1920x1080","","10843.100000023842","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","122502","0.0-5.0","1920x1080","","12534.699999988079","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","122502","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","141438","0.0-7.0","1920x1080","","18933.80000001192","71.96","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","8","147933","0.0-8.0","1920x1080","","6494.099999964237","49.07","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","153558","0.0-9.0","1920x1080","","5623.800000011921","12.96","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","158262","0.0-10.0","1920x1080","","4703.599999964237","22.49","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","163654","0.0-11.0","1920x1080","","5390.399999976158","77.65","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","168029","0.0-12.0","1920x1080","","4374.699999988079","1","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","172437","0.0-13.0","1920x1080","","4407.300000011921","99","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","14","180224","0.0-14.0","1920x1080","","7783.100000023842","98","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","15","183936","0.0-15.0","1920x1080","","3710.600000023842","0.93","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","16","187352","0.0-16.0","1920x1080","","3415.199999988079","37.57","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","191040","0.0-17.0","1920x1080","","3687.399999976158","48.68","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","197176","0.0-18.0","1920x1080","","6135.100000023842","97","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","19","201224","0.0-19.0","1920x1080","","4046.899999976158","7.41","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","20","205696","0.0-20.0","1920x1080","","4471.300000011921","1.19","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","21","216104","0.0-21.0","1920x1080","","10406.900000035763","100","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","22","226880","0.0-22.0","1920x1080","","10775.600000023842","66.53","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","23","231584","0.0-23.0","1920x1080","","4702.799999952316","61","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","24","238216","0.0-24.0","1920x1080","","6631","57.54","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","240809","0.0-25.0","1920x1080","","2591.600000023842","64.68","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","250937","0.0-26.0","1920x1080","","10126.600000023842","39","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","27","254273","0.0-27.0","1920x1080","","3335.599999964237","1.72","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","259145","0.0-28.0","1920x1080","","4870.900000035763","100","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","29","265834","0.0-29.0","1920x1080","","6687.800000011921","1.72","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","30","274209","0.0-30.0","1920x1080","","8374.600000023842","97","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","31","277777","0.0-31.0","1920x1080","","3566.2999999523163","2.38","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","32","280593","0.0-32.0","1920x1080","","2815.5","98","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","33","291105","0.0-33.0","1920x1080","","10511.300000011921","8.07","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","34","295385","0.0-34.0","1920x1080","","4278.600000023842","96","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","35","315825","0.0-35.0","1920x1080","","20440","17.20","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","36","322321","0.0-36.0","1920x1080","","6494.699999988079","81","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","37","325217","0.0-37.0","1920x1080","","2894.800000011921","70.63","img/117/4/1/bw/001.png","","","complex"
