"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","30933","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","61061","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","92667","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","99361","0.0-3.0","1920x1080","12:56 17/10/2022","","","","","",""
"","","","","","survey-html-form","4","114970","0.0-4.0","1920x1080","","15606.199999988079","{""age"":""22"",""gender"":""nonbinary""}","","","",""
"","","","","","html-button-response","5","169845","0.0-5.0","1920x1080","","54878.80000001192","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","169846","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","179478","0.0-7.0","1920x1080","","9628.900000035763","9.26","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","183782","0.0-8.0","1920x1080","","4302.100000023842","94","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","9","187694","0.0-9.0","1920x1080","","3911.199999988079","6.35","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","10","192341","0.0-10.0","1920x1080","","4646.5","12.96","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","11","197365","0.0-11.0","1920x1080","","5023.300000011921","84","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","12","202206","0.0-12.0","1920x1080","","4839.5","9.26","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","206558","0.0-13.0","1920x1080","","4351.300000011921","89.55","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","14","210974","0.0-14.0","1920x1080","","4414.800000011921","77.38","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","15","214782","0.0-15.0","1920x1080","","3807.399999976158","58.60","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","16","219182","0.0-16.0","1920x1080","","4399.199999988079","100","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","17","222222","0.0-17.0","1920x1080","","3039","100","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","18","226799","0.0-18.0","1920x1080","","4576.199999988079","85.05","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","229022","0.0-19.0","1920x1080","","2222","75.93","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","20","234094","0.0-20.0","1920x1080","","5071.199999988079","70.77","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","240286","0.0-21.0","1920x1080","","6191","100","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","244626","0.0-22.0","1920x1080","","4343.400000035763","71.56","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","249275","0.0-23.0","1920x1080","","4647.399999976158","100","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","258186","0.0-24.0","1920x1080","","8910.899999976158","49.60","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","25","262498","0.0-25.0","1920x1080","","4311.099999964237","87.70","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","26","272826","0.0-26.0","1920x1080","","10327.300000011921","6","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","27","280171","0.0-27.0","1920x1080","","7343.399999976158","88","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","28","286114","0.0-28.0","1920x1080","","5942.799999952316","8","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","29","296346","0.0-29.0","1920x1080","","10230.800000011921","89.15","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","30","300419","0.0-30.0","1920x1080","","4071.800000011921","7.01","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","31","305319","0.0-31.0","1920x1080","","4901.300000011921","41.14","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","32","311015","0.0-32.0","1920x1080","","5695","73.54","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","33","314135","0.0-33.0","1920x1080","","3119.099999964237","57.94","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","34","317231","0.0-34.0","1920x1080","","3095.100000023842","100","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","35","323327","0.0-35.0","1920x1080","","6095.400000035763","35.71","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","36","326655","0.0-36.0","1920x1080","","3327","99","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","37","329887","0.0-37.0","1920x1080","","3231","99","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","38","332608","0.0-38.0","1920x1080","","2720.400000035763","100","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","39","340671","0.0-39.0","1920x1080","","8062.300000011921","83","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","40","346679","0.0-40.0","1920x1080","","6006.699999988079","7.67","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","41","353326","0.0-41.0","1920x1080","","6646.899999976158","78","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","42","356847","0.0-42.0","1920x1080","","3519.5","100","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","43","360671","0.0-43.0","1920x1080","","3823.699999988079","19.18","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","44","365080","0.0-44.0","1920x1080","","4406.399999976158","100","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","45","371696","0.0-45.0","1920x1080","","6615.100000023842","45.11","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","46","380153","0.0-46.0","1920x1080","","8455.899999976158","37.04","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","47","384194","0.0-47.0","1920x1080","","4040.599999964237","40.74","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","48","390905","0.0-48.0","1920x1080","","6709.599999964237","36.38","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","49","396625","0.0-49.0","1920x1080","","5719.300000011921","79.10","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","50","399865","0.0-50.0","1920x1080","","3238.800000011921","100","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","51","405611","0.0-51.0","1920x1080","","5745.399999976158","27.38","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","52","410096","0.0-52.0","1920x1080","","4484.300000011921","8.33","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","53","422657","0.0-53.0","1920x1080","","12559.300000011921","24.07","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","54","428047","0.0-54.0","1920x1080","","5390.399999976158","98","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","55","432576","0.0-55.0","1920x1080","","4528.400000035763","86.64","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","56","441703","0.0-56.0","1920x1080","","9125.800000011921","2.38","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","57","451879","0.0-57.0","1920x1080","","10174.699999988079","86","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","58","461103","0.0-58.0","1920x1080","","9223.399999976158","45.90","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","59","466095","0.0-59.0","1920x1080","","4990.5","76.85","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","60","472626","0.0-60.0","1920x1080","","6530.100000023842","66.01","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","61","478967","0.0-61.0","1920x1080","","6339.400000035763","86.24","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","62","484550","0.0-62.0","1920x1080","","5582.700000047684","3.17","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","63","491358","0.0-63.0","1920x1080","","6807.5","97","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","64","502350","0.0-64.0","1920x1080","","10989.699999988079","51.72","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","65","506870","0.0-65.0","1920x1080","","4519","32.28","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","66","509886","0.0-66.0","1920x1080","","3014.900000035763","16.40","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","67","516902","0.0-67.0","1920x1080","","7015.200000047684","84.66","img/117/4.5/0.66667/bw/001.png","","","complex"
