"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","6072","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12393","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18343","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","274981","0.0-3.0","1920x1080","10:7 17/10/2022","","","","","",""
"","","","","","survey-html-form","4","285119","0.0-4.0","1920x1080","","10129.700000047684","{""age"":""19"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","365319","0.0-5.0","1920x1080","","80199.30000001192","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","365319","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","399158","0.0-7.0","1920x1080","","33837.69999998808","55.82","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","8","484422","0.0-8.0","1920x1080","","85263.39999997616","56","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","515159","0.0-9.0","1920x1080","","30735.5","84","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","553770","0.0-10.0","1920x1080","","38614.80000001192","73","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","11","591674","0.0-11.0","1920x1080","","37902.89999997616","68","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","12","619247","0.0-12.0","1920x1080","","27567.399999976158","99","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","649103","0.0-13.0","1920x1080","","29854.5","30","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","14","690801","0.0-14.0","1920x1080","","41695.700000047684","80","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","15","715255","0.0-15.0","1920x1080","","24454.5","90","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","16","730335","0.0-16.0","1920x1080","","15078.699999988079","50.40","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","744055","0.0-17.0","1920x1080","","13719.299999952316","64","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","764376","0.0-18.0","1920x1080","","20319.599999964237","101.19","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","19","782390","0.0-19.0","1920x1080","","18015.100000023842","103.70","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","20","798702","0.0-20.0","1920x1080","","16310.899999976158","47","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","825038","0.0-21.0","1920x1080","","26335.700000047684","52","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","835284","0.0-22.0","1920x1080","","10247.199999988079","37.83","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","853573","0.0-23.0","1920x1080","","18287.399999976158","55.69","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","24","863045","0.0-24.0","1920x1080","","9471.100000023842","78.04","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","25","887285","0.0-25.0","1920x1080","","24238.700000047684","85.85","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","26","905243","0.0-26.0","1920x1080","","17951.100000023842","82.54","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","27","917867","0.0-27.0","1920x1080","","12623.5","100","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","28","929804","0.0-28.0","1920x1080","","11935.800000011921","34.92","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","29","945595","0.0-29.0","1920x1080","","15789.900000035763","49.60","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","30","962787","0.0-30.0","1920x1080","","17199.19999998808","100","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","31","973803","0.0-31.0","1920x1080","","11014.699999988079","22.35","img/117/3.5/1.5/bw/001.png","","","complex"
