"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","21061","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","42405","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","64016","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","68528","0.0-3.0","1920x1080","11:51 18/10/2022","","","","","",""
"","","","","","survey-html-form","4","75174","0.0-4.0","1920x1080","","6643.1999999999825","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","124006","0.0-5.0","1920x1080","","48830.80000000002","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","124007","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","139878","0.0-7.0","1920x1080","","15868.5","49.60","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","8","154302","0.0-8.0","1920x1080","","14422.700000000012","15","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","162150","0.0-9.0","1920x1080","","7847.099999999977","25.13","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","10","169093","0.0-10.0","1920x1080","","6942.799999999988","64.55","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","11","172317","0.0-11.0","1920x1080","","3223","24.60","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","12","179422","0.0-12.0","1920x1080","","7103.900000000023","30.42","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","13","186829","0.0-13.0","1920x1080","","7406.5","45.24","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","14","192477","0.0-14.0","1920x1080","","5646.600000000035","35.32","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","199413","0.0-15.0","1920x1080","","6935.700000000012","5.82","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","204045","0.0-16.0","1920x1080","","4631","9.66","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","208845","0.0-17.0","1920x1080","","4799.199999999953","39.68","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","18","213181","0.0-18.0","1920x1080","","4335.400000000023","50.00","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","221645","0.0-19.0","1920x1080","","8462.899999999965","59.52","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","20","225557","0.0-20.0","1920x1080","","3910.9000000000233","40","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","230085","0.0-21.0","1920x1080","","4527.700000000012","64.95","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","22","234305","0.0-22.0","1920x1080","","4231.300000000047","64.68","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","246097","0.0-23.0","1920x1080","","11790.5","0","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","24","250089","0.0-24.0","1920x1080","","3991.2999999999884","52.91","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","255233","0.0-25.0","1920x1080","","5143.099999999977","4.50","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","26","259193","0.0-26.0","1920x1080","","3959","47.35","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","27","262073","0.0-27.0","1920x1080","","2879.7000000000116","53.84","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","28","264377","0.0-28.0","1920x1080","","2302.7999999999884","54.50","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","29","267121","0.0-29.0","1920x1080","","2743.9000000000233","57","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","30","271537","0.0-30.0","1920x1080","","4415.200000000012","9.79","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","31","278345","0.0-31.0","1920x1080","","6806.800000000047","36.38","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","32","283969","0.0-32.0","1920x1080","","5623.5","76.19","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","33","287233","0.0-33.0","1920x1080","","3262.9000000000233","4.63","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","34","291689","0.0-34.0","1920x1080","","4455.400000000023","86.90","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","35","295204","0.0-35.0","1920x1080","","3536","86.51","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","36","299547","0.0-36.0","1920x1080","","4342.400000000023","12.30","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","37","302891","0.0-37.0","1920x1080","","3343","15.34","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","38","306411","0.0-38.0","1920x1080","","3519.0999999999767","49.74","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","39","308747","0.0-39.0","1920x1080","","2335.4000000000233","40.08","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","40","314299","0.0-40.0","1920x1080","","5551.199999999953","48.41","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","41","317021","0.0-41.0","1920x1080","","2720.2000000000116","45.77","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","42","319507","0.0-42.0","1920x1080","","2485.2000000000116","38.36","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","43","322170","0.0-43.0","1920x1080","","2662.9000000000233","58.20","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","44","324986","0.0-44.0","1920x1080","","2815.5","63.76","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","45","329794","0.0-45.0","1920x1080","","4807.299999999988","53.84","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","46","332403","0.0-46.0","1920x1080","","2608.4000000000233","81.61","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","47","337954","0.0-47.0","1920x1080","","5550.200000000012","6.35","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","48","341834","0.0-48.0","1920x1080","","3878.9000000000233","32.14","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","49","345394","0.0-49.0","1920x1080","","3559.100000000035","26.32","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","50","348931","0.0-50.0","1920x1080","","3535.9000000000233","26.85","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","51","351522","0.0-51.0","1920x1080","","2590.4000000000233","35.32","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","52","353513","0.0-52.0","1920x1080","","2015.899999999965","28.84","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","53","355896","0.0-53.0","1920x1080","","2382.5999999999767","20.37","img/314/5.5/0.66667/bw/001.png","","","complex"
