"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","37337","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","85905","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","111320","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","143214","0.0-3.0","1920x1080","11:53 18/10/2022","","","","","",""
"","","","","","survey-html-form","4","154514","0.0-4.0","1920x1080","","11298.5","{""age"":""19"",""gender"":""male""}","","","",""
"","","","","","html-button-response","5","216428","0.0-5.0","1920x1080","","61967.600000000035","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","216429","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","239540","0.0-7.0","1920x1080","","23108.099999999977","30.16","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","256548","0.0-8.0","1920x1080","","17007.800000000047","30.16","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","9","275887","0.0-9.0","1920x1080","","19382.199999999953","40.08","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","10","298712","0.0-10.0","1920x1080","","22823.5","24.07","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","309071","0.0-11.0","1920x1080","","10358.900000000023","44.97","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","323752","0.0-12.0","1920x1080","","14679.300000000047","49.47","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","339193","0.0-13.0","1920x1080","","15486.599999999977","65.87","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","14","352074","0.0-14.0","1920x1080","","12880.400000000023","37.17","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","15","361393","0.0-15.0","1920x1080","","9317.699999999953","24.87","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","16","373674","0.0-16.0","1920x1080","","12280","70.11","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","387969","0.0-17.0","1920x1080","","14294.800000000047","20.37","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","18","402445","0.0-18.0","1920x1080","","14495","16.80","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","19","412877","0.0-19.0","1920x1080","","10431","25.66","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","20","438997","0.0-20.0","1920x1080","","26119.599999999977","31.75","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","21","446445","0.0-21.0","1920x1080","","7446.5","43.39","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","22","453989","0.0-22.0","1920x1080","","7543.599999999977","55.29","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","467083","0.0-23.0","1920x1080","","13087.300000000047","58.60","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","24","481451","0.0-24.0","1920x1080","","14366.900000000023","59.13","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","25","498827","0.0-25.0","1920x1080","","17374.400000000023","19.97","img/238/4.5/2/bw/001.png","","","complex"
