"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","19746","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","38492","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","58249","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","1528522","0.0-3.0","1920x1080","12:25 18/10/2022","","","","","",""
"","","","","","survey-html-form","4","1536536","0.0-4.0","1920x1080","","8011","{""age"":""19"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","1593607","0.0-5.0","1920x1080","","57070.19999999972","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","1593608","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","1604040","0.0-7.0","1920x1080","","10429.5","72.35","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","8","1611239","0.0-8.0","1920x1080","","7198.4000000003725","94.05","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","1638383","0.0-9.0","1920x1080","","27142.799999999814","99","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","10","1645774","0.0-10.0","1920x1080","","7390.700000000186","1.98","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","11","1656535","0.0-11.0","1920x1080","","10759.5","40","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","12","1660567","0.0-12.0","1920x1080","","4031","75.40","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","13","1671799","0.0-13.0","1920x1080","","11230.5","13","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","14","1674840","0.0-14.0","1920x1080","","3040.5","77.65","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","15","1679055","0.0-15.0","1920x1080","","4214.199999999721","2","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","16","1685127","0.0-16.0","1920x1080","","6070.799999999814","100","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","17","1689383","0.0-17.0","1920x1080","","4255.399999999907","71.69","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","18","1692335","0.0-18.0","1920x1080","","2950.600000000093","55.95","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","19","1697911","0.0-19.0","1920x1080","","5574.800000000279","30.16","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","20","1703111","0.0-20.0","1920x1080","","5198.899999999907","50.00","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","21","1709533","0.0-21.0","1920x1080","","6423.300000000279","100.13","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","22","1713213","0.0-22.0","1920x1080","","3679","100","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","1724093","0.0-23.0","1920x1080","","10879.200000000186","36","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","24","1727421","0.0-24.0","1920x1080","","3324.899999999907","53.04","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","25","1740669","0.0-25.0","1920x1080","","13247.399999999907","49.87","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","26","1745165","0.0-26.0","1920x1080","","4495.100000000093","57.94","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","27","1762901","0.0-27.0","1920x1080","","17734.899999999907","50.40","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","1765845","0.0-28.0","1920x1080","","2943.5","92.46","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","29","1775711","0.0-29.0","1920x1080","","9871","69","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","30","1782775","0.0-30.0","1920x1080","","7063.100000000093","96","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","31","1790727","0.0-31.0","1920x1080","","7950.899999999907","98","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","32","1796455","0.0-32.0","1920x1080","","5726.899999999907","26.59","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","33","1800775","0.0-33.0","1920x1080","","4319.399999999907","21","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","34","1808951","0.0-34.0","1920x1080","","8174.9000000003725","50.26","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","35","1818471","0.0-35.0","1920x1080","","9519.600000000093","62.96","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","36","1823999","0.0-36.0","1920x1080","","5526.600000000093","40.08","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","37","1829324","0.0-37.0","1920x1080","","5319.200000000186","58","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","38","1832844","0.0-38.0","1920x1080","","3519.5","100","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","39","1836228","0.0-39.0","1920x1080","","3383.1999999997206","100","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","40","1864972","0.0-40.0","1920x1080","","28742.80000000028","50","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","41","1868237","0.0-41.0","1920x1080","","3264","100","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","42","1874069","0.0-42.0","1920x1080","","5831.700000000186","60.32","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","43","1881996","0.0-43.0","1920x1080","","7926.100000000093","50.00","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","44","1890598","0.0-44.0","1920x1080","","8597.899999999907","28.97","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","45","1892917","0.0-45.0","1920x1080","","2318.899999999907","64.42","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","46","1897645","0.0-46.0","1920x1080","","4727.100000000093","62.04","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","47","1901621","0.0-47.0","1920x1080","","3975","99","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","48","1904501","0.0-48.0","1920x1080","","2879.899999999907","87.83","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","49","1915229","0.0-49.0","1920x1080","","10726.5","62.04","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","50","1929877","0.0-50.0","1920x1080","","14647.30000000028","73.68","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","51","1936917","0.0-51.0","1920x1080","","7039","100","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","52","1941854","0.0-52.0","1920x1080","","4936.399999999907","59.13","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","53","1944088","0.0-53.0","1920x1080","","2231.7000000001863","75.66","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","54","1958578","0.0-54.0","1920x1080","","14492.200000000186","50.26","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","55","1976579","0.0-55.0","1920x1080","","17998.600000000093","50.13","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","56","1990715","0.0-56.0","1920x1080","","14133","55.16","img/314/5.5/2/bw/001.png","","","complex"
