"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","6056","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12239","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18471","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","3605314","0.0-3.0","1920x1080","12:49 18/10/2022","","","","","",""
"","","","","","survey-html-form","4","3617062","0.0-4.0","1920x1080","","11745.5","{""age"":""18"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","3675825","0.0-5.0","1920x1080","","58758.799999999814","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","3675825","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","3689305","0.0-7.0","1920x1080","","13476.700000000186","18.39","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","8","3705040","0.0-8.0","1920x1080","","15734.5","19.18","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","3714672","0.0-9.0","1920x1080","","9630.900000000373","27.65","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","10","3729831","0.0-10.0","1920x1080","","15159.399999999441","55.16","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","11","3739038","0.0-11.0","1920x1080","","9206.700000000186","15.08","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","12","3744926","0.0-12.0","1920x1080","","5887.4000000003725","70.50","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","3752631","0.0-13.0","1920x1080","","7703.4000000003725","50.26","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","14","3760558","0.0-14.0","1920x1080","","7927","71","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","3771415","0.0-15.0","1920x1080","","10855.200000000186","67","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","16","3778734","0.0-16.0","1920x1080","","7318.5","34.92","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","3784230","0.0-17.0","1920x1080","","5495.199999999255","45.37","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","18","3789629","0.0-18.0","1920x1080","","5399","56.08","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","19","3794701","0.0-19.0","1920x1080","","5071.200000000186","65.74","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","20","3802237","0.0-20.0","1920x1080","","7535.0999999996275","51.59","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","3807021","0.0-21.0","1920x1080","","4783","74.34","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","22","3812941","0.0-22.0","1920x1080","","5919.299999999814","60.19","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","23","3826237","0.0-23.0","1920x1080","","13295.200000000186","2","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","24","3832693","0.0-24.0","1920x1080","","6455.199999999255","78.70","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","25","3839973","0.0-25.0","1920x1080","","7279.299999999814","47.09","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","26","3844397","0.0-26.0","1920x1080","","4422.9000000003725","54.10","img/314/4/2/bw/001.png","","","complex"
