"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5965","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12135","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18379","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","297106","0.0-3.0","1920x1080","9:59 19/10/2022","","","","","",""
"","","","","","survey-html-form","4","302048","0.0-4.0","1920x1080","","4939.399999999907","{""age"":""20"",""gender"":""""}","","","",""
"","","","","","html-button-response","5","370176","0.0-5.0","1920x1080","","68126.8999999999","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","370177","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","392400","0.0-7.0","1920x1080","","22221","32.94","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","8","401328","0.0-8.0","1920x1080","","8926.5","33.07","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","408208","0.0-9.0","1920x1080","","6878.899999999907","39.55","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","10","412440","0.0-10.0","1920x1080","","4230.899999999907","23.68","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","417304","0.0-11.0","1920x1080","","4863.5","35.05","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","12","425256","0.0-12.0","1920x1080","","7950.700000000186","10.32","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","429969","0.0-13.0","1920x1080","","4711.399999999907","16","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","14","436337","0.0-14.0","1920x1080","","6367.299999999814","5.03","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","15","441098","0.0-15.0","1920x1080","","4760.100000000093","28","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","16","449689","0.0-16.0","1920x1080","","8590.399999999907","9","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","456065","0.0-17.0","1920x1080","","6375.100000000093","16.67","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","18","461889","0.0-18.0","1920x1080","","5823.0999999996275","41.53","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","19","468200","0.0-19.0","1920x1080","","6310.899999999907","36.77","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","20","475098","0.0-20.0","1920x1080","","6896.700000000186","39.29","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","478521","0.0-21.0","1920x1080","","3421.1999999997206","57.41","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","22","484313","0.0-22.0","1920x1080","","5791.199999999721","35.85","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","23","487625","0.0-23.0","1920x1080","","3311.2000000001863","25.13","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","24","499445","0.0-24.0","1920x1080","","11822.700000000186","24","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","25","502261","0.0-25.0","1920x1080","","2815.100000000093","25","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","26","504917","0.0-26.0","1920x1080","","2655.6999999997206","25","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","27","508669","0.0-27.0","1920x1080","","3751.0999999996275","44.71","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","28","512717","0.0-28.0","1920x1080","","4047.0999999996275","43.65","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","29","515310","0.0-29.0","1920x1080","","2592.5999999996275","59.79","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","30","517694","0.0-30.0","1920x1080","","2383.0999999996275","70","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","31","521845","0.0-31.0","1920x1080","","4149.600000000093","10.45","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","32","525278","0.0-32.0","1920x1080","","3431.899999999907","5.42","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","33","531725","0.0-33.0","1920x1080","","6446.4000000003725","34","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","34","535653","0.0-34.0","1920x1080","","3926.899999999907","40.74","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","35","538437","0.0-35.0","1920x1080","","2783.399999999907","31.35","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","36","541525","0.0-36.0","1920x1080","","3087.1999999997206","31.75","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","37","545941","0.0-37.0","1920x1080","","4415","39.15","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","38","550065","0.0-38.0","1920x1080","","4119.399999999907","43.92","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","39","553993","0.0-39.0","1920x1080","","3926.7999999998137","9.26","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","40","559201","0.0-40.0","1920x1080","","5206.699999999721","42.20","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","41","561841","0.0-41.0","1920x1080","","2639.5","43.39","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","42","563969","0.0-42.0","1920x1080","","2127.100000000093","57.01","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","43","566115","0.0-43.0","1920x1080","","2145.5999999996275","65.34","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","44","568753","0.0-44.0","1920x1080","","2634.899999999907","58.33","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","45","572609","0.0-45.0","1920x1080","","3855.399999999907","5.56","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","46","575841","0.0-46.0","1920x1080","","3231.1999999997206","38.23","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","47","577921","0.0-47.0","1920x1080","","2078.899999999907","45.77","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","48","581393","0.0-48.0","1920x1080","","3471.2000000001863","50","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","49","586425","0.0-49.0","1920x1080","","5031.199999999721","37","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","50","591841","0.0-50.0","1920x1080","","5415.0999999996275","47.35","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","51","594441","0.0-51.0","1920x1080","","2599.100000000093","66.01","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","52","599115","0.0-52.0","1920x1080","","4673.399999999907","9.13","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","53","601682","0.0-53.0","1920x1080","","2565.7999999998137","19.05","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","54","603931","0.0-54.0","1920x1080","","2247.899999999907","31.22","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","55","606705","0.0-55.0","1920x1080","","2773.2999999998137","39.15","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","56","609632","0.0-56.0","1920x1080","","2926.899999999907","77.38","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","57","612024","0.0-57.0","1920x1080","","2391.7000000001863","55.16","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","58","614656","0.0-58.0","1920x1080","","2631","91","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","59","618665","0.0-59.0","1920x1080","","4007.600000000093","74.47","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","60","621192","0.0-60.0","1920x1080","","2526.7000000001863","83.86","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","61","623282","0.0-61.0","1920x1080","","2088.600000000093","67.33","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","62","626192","0.0-62.0","1920x1080","","2909.2999999998137","50.79","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","63","628224","0.0-63.0","1920x1080","","2031.4000000003725","70.50","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","64","630681","0.0-64.0","1920x1080","","2456.1999999997206","78.04","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","65","633856","0.0-65.0","1920x1080","","3173.8000000002794","13.36","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","66","636488","0.0-66.0","1920x1080","","2630.899999999907","26.98","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","67","639232","0.0-67.0","1920x1080","","2742.600000000093","81.22","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","68","642400","0.0-68.0","1920x1080","","3166.9000000003725","19.71","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","69","646936","0.0-69.0","1920x1080","","4534.9000000003725","17.33","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","70","650352","0.0-70.0","1920x1080","","3415","22.62","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","71","652704","0.0-71.0","1920x1080","","2351","39.81","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","72","654624","0.0-72.0","1920x1080","","1919.1000000000931","35.85","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","73","659248","0.0-73.0","1920x1080","","4623.299999999814","55.69","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","74","662432","0.0-74.0","1920x1080","","3182.7999999998137","22.62","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","75","664698","0.0-75.0","1920x1080","","2265.9000000003725","21.56","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","76","666416","0.0-76.0","1920x1080","","1716.5","48.41","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","77","669464","0.0-77.0","1920x1080","","3048.899999999907","65.08","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","78","671702","0.0-78.0","1920x1080","","2237.7000000001863","85.45","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","79","674079","0.0-79.0","1920x1080","","2376","75.66","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","80","676447","0.0-80.0","1920x1080","","2366.899999999907","87.30","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","81","680590","0.0-81.0","1920x1080","","4142.399999999907","31","img/117/4/2/bw/001.png","","","complex"
