"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","36156","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","77907","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","102572","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","208663","0.0-3.0","1920x1080","15:5 19/10/2022","","","","","",""
"","","","","","survey-html-form","4","215563","0.0-4.0","1920x1080","","6898.399999999965","{""age"":""21"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","254003","0.0-5.0","1920x1080","","38438.70000000001","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","254004","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","271843","0.0-7.0","1920x1080","","17836.900000000023","36.51","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","8","276419","0.0-8.0","1920x1080","","4574.099999999977","55.03","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","9","282499","0.0-9.0","1920x1080","","6079","22","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","286611","0.0-10.0","1920x1080","","4111","79","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","11","289443","0.0-11.0","1920x1080","","2830.2000000000116","85.98","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","12","294179","0.0-12.0","1920x1080","","4735.300000000047","86.24","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","309251","0.0-13.0","1920x1080","","15071.400000000023","44.44","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","14","318843","0.0-14.0","1920x1080","","9590.900000000023","13.89","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","15","322131","0.0-15.0","1920x1080","","3287.0999999999767","59.66","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","16","328922","0.0-16.0","1920x1080","","6807","89.95","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","333722","0.0-17.0","1920x1080","","4799.199999999953","83.73","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","18","337786","0.0-18.0","1920x1080","","4063.2000000000116","81.75","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","19","344338","0.0-19.0","1920x1080","","6550.900000000023","59.26","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","20","349754","0.0-20.0","1920x1080","","5415.299999999988","98","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","21","355706","0.0-21.0","1920x1080","","5951.099999999977","96","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","22","362362","0.0-22.0","1920x1080","","6655.700000000012","13","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","23","370162","0.0-23.0","1920x1080","","7798.900000000023","5","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","383418","0.0-24.0","1920x1080","","13255.699999999953","63.76","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","25","392159","0.0-25.0","1920x1080","","8782.5","71.83","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","26","399176","0.0-26.0","1920x1080","","7016.200000000012","93","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","27","403143","0.0-27.0","1920x1080","","3966.5","98","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","28","421808","0.0-28.0","1920x1080","","18664.699999999953","81.48","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","29","426879","0.0-29.0","1920x1080","","5069.599999999977","9.52","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","438255","0.0-30.0","1920x1080","","11375.5","6.88","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","31","442423","0.0-31.0","1920x1080","","4167.399999999965","97","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","32","447751","0.0-32.0","1920x1080","","5368.200000000012","16.27","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","33","454790","0.0-33.0","1920x1080","","7038.099999999977","30.95","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","34","462102","0.0-34.0","1920x1080","","7310.799999999988","20.50","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","35","469086","0.0-35.0","1920x1080","","6983.400000000023","58","img/238/3.5/1.5/bw/001.png","","","complex"
