"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","38269","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","77933","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","119810","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","244117","0.0-3.0","1920x1080","15:43 19/10/2022","","","","","",""
"","","","","","survey-html-form","4","252064","0.0-4.0","1920x1080","","7945.799999999814","{""age"":""19"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","287424","0.0-5.0","1920x1080","","35359","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","287424","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","306751","0.0-7.0","1920x1080","","19316.600000000093","74.87","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","314359","0.0-8.0","1920x1080","","7606.699999999721","84.52","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","320999","0.0-9.0","1920x1080","","6638.799999999814","50.66","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","10","324559","0.0-10.0","1920x1080","","3559.399999999907","13.89","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","11","328382","0.0-11.0","1920x1080","","3822.5","93","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","12","332207","0.0-12.0","1920x1080","","3823.5999999996275","71.30","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","13","336766","0.0-13.0","1920x1080","","4558.699999999721","15","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","14","340879","0.0-14.0","1920x1080","","4111.899999999907","81.35","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","345639","0.0-15.0","1920x1080","","4758.800000000279","91.40","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","16","352118","0.0-16.0","1920x1080","","6479","84.13","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","17","355343","0.0-17.0","1920x1080","","3223.399999999907","33.20","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","18","359191","0.0-18.0","1920x1080","","3847.1999999997206","92.59","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","19","364679","0.0-19.0","1920x1080","","5487.100000000093","52.91","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","20","370655","0.0-20.0","1920x1080","","5975.399999999907","87.30","img/238/4/0.5/bw/001.png","","","complex"
