"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","4890","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","11064","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","17112","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","533232","0.0-3.0","1920x1080","12:24 20/10/2022","","","","","",""
"","","","","","survey-html-form","4","540880","0.0-4.0","1920x1080","","7643.799999999814","{""age"":""19"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","604848","0.0-5.0","1920x1080","","63966.89999999991","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","604849","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","615480","0.0-7.0","1920x1080","","10630.399999999907","23.94","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","8","641632","0.0-8.0","1920x1080","","26151.30000000028","34.39","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","9","645280","0.0-9.0","1920x1080","","3646.899999999907","87.70","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","649928","0.0-10.0","1920x1080","","4646.9000000003725","64.15","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","11","653304","0.0-11.0","1920x1080","","3376.100000000093","67.06","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","12","660192","0.0-12.0","1920x1080","","6886.899999999907","94","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","664240","0.0-13.0","1920x1080","","4047.2999999998137","100","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","14","668416","0.0-14.0","1920x1080","","4175.600000000093","6.88","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","15","672744","0.0-15.0","1920x1080","","4326.899999999907","53.04","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","678807","0.0-16.0","1920x1080","","6063","63","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","17","687752","0.0-17.0","1920x1080","","8943.899999999907","39.02","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","691352","0.0-18.0","1920x1080","","3599.0999999996275","59.79","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","19","696408","0.0-19.0","1920x1080","","5055.0999999996275","29.10","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","20","700464","0.0-20.0","1920x1080","","4055","43.25","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","705712","0.0-21.0","1920x1080","","5247","86","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","22","709656","0.0-22.0","1920x1080","","3943.3000000002794","67.20","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","713848","0.0-23.0","1920x1080","","4191.5","38.76","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","720512","0.0-24.0","1920x1080","","6662.5","9.92","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","725374","0.0-25.0","1920x1080","","4863.5","16.67","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","729878","0.0-26.0","1920x1080","","4503.100000000093","25.53","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","27","732942","0.0-27.0","1920x1080","","3063","33.20","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","737653","0.0-28.0","1920x1080","","4710.799999999814","89.15","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","29","741190","0.0-29.0","1920x1080","","3534.899999999907","85.05","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","30","745269","0.0-30.0","1920x1080","","4079","85.98","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","31","750126","0.0-31.0","1920x1080","","4855.5","2.78","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","32","753838","0.0-32.0","1920x1080","","3711","19.44","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","33","756958","0.0-33.0","1920x1080","","3119.399999999907","79.50","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","34","762110","0.0-34.0","1920x1080","","5151.299999999814","37.17","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","35","766237","0.0-35.0","1920x1080","","4126.899999999907","85.32","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","36","770390","0.0-36.0","1920x1080","","4151.299999999814","82.01","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","37","774542","0.0-37.0","1920x1080","","4151.299999999814","4","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","38","780286","0.0-38.0","1920x1080","","5742.899999999907","76","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","39","784355","0.0-39.0","1920x1080","","4071.399999999907","8.60","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","40","787907","0.0-40.0","1920x1080","","3551.0999999996275","87.17","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","41","791674","0.0-41.0","1920x1080","","3767.100000000093","9.52","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","42","795618","0.0-42.0","1920x1080","","3942.3000000002794","95","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","43","798707","0.0-43.0","1920x1080","","3087.0999999996275","23.94","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","44","801666","0.0-44.0","1920x1080","","2958.7999999998137","31.48","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","45","804466","0.0-45.0","1920x1080","","2799.2999999998137","72.75","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","46","807338","0.0-46.0","1920x1080","","2871.2999999998137","30.03","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","47","812332","0.0-47.0","1920x1080","","4993.199999999721","17.72","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","48","816859","0.0-48.0","1920x1080","","4525.200000000186","13.36","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","49","820322","0.0-49.0","1920x1080","","3462.5","90.74","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","50","823995","0.0-50.0","1920x1080","","3671.2999999998137","22.49","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","51","826779","0.0-51.0","1920x1080","","2783.5","68.78","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","52","829706","0.0-52.0","1920x1080","","2926.600000000093","32.67","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","53","832770","0.0-53.0","1920x1080","","3063.100000000093","72.49","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","54","836386","0.0-54.0","1920x1080","","3614.399999999907","67.20","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","55","839082","0.0-55.0","1920x1080","","2694.7999999998137","81.75","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","56","843811","0.0-56.0","1920x1080","","4727.799999999814","81.08","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","57","846398","0.0-57.0","1920x1080","","2583.2000000001863","91.67","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","58","849494","0.0-58.0","1920x1080","","3095.100000000093","5","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","59","851870","0.0-59.0","1920x1080","","2375.6999999997206","88.62","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","60","855062","0.0-60.0","1920x1080","","3191","63.23","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","61","858366","0.0-61.0","1920x1080","","3303","61.38","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","62","860805","0.0-62.0","1920x1080","","2438.5999999996275","47.88","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","63","862878","0.0-63.0","1920x1080","","2071.399999999907","48.54","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","64","865536","0.0-64.0","1920x1080","","2656.899999999907","51.59","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","65","869030","0.0-65.0","1920x1080","","3493.399999999907","67.59","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","66","871637","0.0-66.0","1920x1080","","2606.600000000093","83.47","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","67","873926","0.0-67.0","1920x1080","","2287.399999999907","25.79","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","68","876654","0.0-68.0","1920x1080","","2727.100000000093","98","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","69","882710","0.0-69.0","1920x1080","","6054.600000000093","59","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","70","885941","0.0-70.0","1920x1080","","3230.7000000001863","60.05","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","71","888471","0.0-71.0","1920x1080","","2528.399999999907","65","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","72","891503","0.0-72.0","1920x1080","","3031.8000000002794","45.90","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","73","894319","0.0-73.0","1920x1080","","2814.7999999998137","45.50","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","74","897720","0.0-74.0","1920x1080","","3400","91.14","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","75","902782","0.0-75.0","1920x1080","","5060.600000000093","44.31","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","76","906181","0.0-76.0","1920x1080","","3398.5","40","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","77","909103","0.0-77.0","1920x1080","","2921.100000000093","42.46","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","78","912885","0.0-78.0","1920x1080","","3781.600000000093","28.84","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","79","915245","0.0-79.0","1920x1080","","2358.399999999907","74.60","img/314/4/1/bw/001.png","","","complex"
