"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","6037","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12181","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18149","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","1013361","0.0-3.0","1920x1080","13:15 20/10/2022","","","","","",""
"","","","","","survey-html-form","4","1022061","0.0-4.0","1920x1080","","8695.5","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","1082607","0.0-5.0","1920x1080","","60543","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","1082607","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","1095126","0.0-7.0","1920x1080","","12518.200000000186","77.78","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","1106366","0.0-8.0","1920x1080","","11239.099999999627","79.89","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","1128070","0.0-9.0","1920x1080","","21702.700000000186","22.35","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","10","1131694","0.0-10.0","1920x1080","","3621.0999999996275","62.30","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","11","1135454","0.0-11.0","1920x1080","","3759.5","5.29","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","1139486","0.0-12.0","1920x1080","","4031.4000000003725","29.89","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","13","1143071","0.0-13.0","1920x1080","","3583.2999999998137","0","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","14","1146816","0.0-14.0","1920x1080","","3743.7999999998137","51.85","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","15","1150320","0.0-15.0","1920x1080","","3503.2000000001863","31.35","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","16","1154560","0.0-16.0","1920x1080","","4239.200000000186","15.61","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","17","1159239","0.0-17.0","1920x1080","","4679.100000000559","55.82","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","1163632","0.0-18.0","1920x1080","","4391.4000000003725","39.29","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","19","1171359","0.0-19.0","1920x1080","","7727.300000000745","26.46","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","20","1174576","0.0-20.0","1920x1080","","3215.399999999441","38.23","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","1178992","0.0-21.0","1920x1080","","4415.299999999814","61.90","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","22","1182416","0.0-22.0","1920x1080","","3423.5","61.38","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","1185816","0.0-23.0","1920x1080","","3399.2999999998137","44.97","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","24","1188864","0.0-24.0","1920x1080","","3047","38.62","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","1191784","0.0-25.0","1920x1080","","2919.4000000003725","50.13","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","26","1194560","0.0-26.0","1920x1080","","2775","57.54","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","27","1198680","0.0-27.0","1920x1080","","4119.299999999814","0.79","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","28","1202726","0.0-28.0","1920x1080","","4046.899999999441","40.61","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","29","1209767","0.0-29.0","1920x1080","","7040","4.63","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","30","1212871","0.0-30.0","1920x1080","","3102.7000000001863","66.67","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","31","1216591","0.0-31.0","1920x1080","","3719.199999999255","61.38","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","32","1224055","0.0-32.0","1920x1080","","7462.899999999441","28","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","33","1230271","0.0-33.0","1920x1080","","6215.799999999814","30.69","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","34","1234215","0.0-34.0","1920x1080","","3943","23.28","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","35","1236615","0.0-35.0","1920x1080","","2399.5","42.06","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","36","1241055","0.0-36.0","1920x1080","","4438.800000000745","72.49","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","37","1243527","0.0-37.0","1920x1080","","2470.7999999998137","53.70","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","38","1246647","0.0-38.0","1920x1080","","3119.0999999996275","26.59","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","39","1253182","0.0-39.0","1920x1080","","6535","45.11","img/314/4/0.66667/bw/001.png","","","complex"
