"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","43868","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","83153","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","126768","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","264116","0.0-3.0","1920x1080","9:43 21/10/2022","","","","","",""
"","","","","","survey-html-form","4","272386","0.0-4.0","1920x1080","","8268.5","{""age"":""18"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","336304","0.0-5.0","1920x1080","","63934.29999999999","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","336305","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","345448","0.0-7.0","1920x1080","","9141.5","79.63","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","8","350976","0.0-8.0","1920x1080","","5526.900000000023","69.31","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","9","355248","0.0-9.0","1920x1080","","4271.100000000035","24","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","361488","0.0-10.0","1920x1080","","6239","78.70","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","11","366937","0.0-11.0","1920x1080","","5447.599999999977","99","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","371072","0.0-12.0","1920x1080","","4134.5","2.65","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","383200","0.0-13.0","1920x1080","","12127.799999999988","4.23","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","14","389504","0.0-14.0","1920x1080","","6302.900000000023","27.38","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","15","392848","0.0-15.0","1920x1080","","3342.9000000000233","95","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","16","397073","0.0-16.0","1920x1080","","4255","5.95","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","400041","0.0-17.0","1920x1080","","2967.5","38.10","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","18","404017","0.0-18.0","1920x1080","","3975.8000000000466","50.26","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","406561","0.0-19.0","1920x1080","","2543.2000000000116","9.66","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","20","411137","0.0-20.0","1920x1080","","4575.400000000023","15.87","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","415401","0.0-21.0","1920x1080","","4262.900000000023","26.46","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","22","433977","0.0-22.0","1920x1080","","18574.899999999965","93.25","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","23","444441","0.0-23.0","1920x1080","","10462.900000000023","94","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","24","456658","0.0-24.0","1920x1080","","12247.700000000012","8.47","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","465490","0.0-25.0","1920x1080","","8831","93","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","26","470274","0.0-26.0","1920x1080","","4783.399999999965","3.97","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","27","493361","0.0-27.0","1920x1080","","23085.899999999965","22.35","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","28","499841","0.0-28.0","1920x1080","","6479.79999999993","7","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","29","503505","0.0-29.0","1920x1080","","3662.9000000000233","50.26","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","30","505801","0.0-30.0","1920x1080","","2295.3000000000466","50","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","31","508561","0.0-31.0","1920x1080","","2758.5999999999767","26.98","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","32","512681","0.0-32.0","1920x1080","","4119.199999999953","59.26","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","33","515770","0.0-33.0","1920x1080","","3119.4000000000233","10.45","img/117/5.5/1/bw/001.png","","","complex"
