"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","6037","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12196","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18153","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","281747","0.0-3.0","1920x1080","10:33 21/10/2022","","","","","",""
"","","","","","survey-html-form","4","297705","0.0-4.0","1920x1080","","15953.899999999907","{""age"":""19"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","366337","0.0-5.0","1920x1080","","68630.79999999981","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","366337","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","380569","0.0-7.0","1920x1080","","14230.600000000093","67.46","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","8","383888","0.0-8.0","1920x1080","","3318.2000000001863","14.68","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","9","389153","0.0-9.0","1920x1080","","5263.5","23.94","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","10","397433","0.0-10.0","1920x1080","","8278.899999999907","35.05","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","11","405433","0.0-11.0","1920x1080","","7999.200000000186","56.22","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","414401","0.0-12.0","1920x1080","","8967.30000000028","60.98","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","420696","0.0-13.0","1920x1080","","6294.799999999814","56.08","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","14","424201","0.0-14.0","1920x1080","","3503.600000000093","77.91","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","15","428552","0.0-15.0","1920x1080","","4350.5","90.08","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","16","431776","0.0-16.0","1920x1080","","3221.0999999996275","98","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","434760","0.0-17.0","1920x1080","","2983.399999999907","77.51","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","18","437472","0.0-18.0","1920x1080","","2710.8000000002794","56.48","img/117/5.5/1/bw/001.png","","","complex"
