"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5954","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12073","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18324","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","259877","0.0-3.0","1920x1080","11:33 21/10/2022","","","","","",""
"","","","","","survey-html-form","4","268772","0.0-4.0","1920x1080","","8891.900000000373","{""age"":""18"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","350059","0.0-5.0","1920x1080","","81286.70000000019","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","350060","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","363691","0.0-7.0","1920x1080","","13630.800000000745","29","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","374099","0.0-8.0","1920x1080","","10406.400000000373","18.78","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","427371","0.0-9.0","1920x1080","","53271.699999999255","76","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","448123","0.0-10.0","1920x1080","","20750.900000000373","58.20","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","457331","0.0-11.0","1920x1080","","9206.900000000373","53.04","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","12","465891","0.0-12.0","1920x1080","","8559.5","81","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","13","472835","0.0-13.0","1920x1080","","6943.5","93","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","14","476315","0.0-14.0","1920x1080","","3478.7999999998137","68.65","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","15","480259","0.0-15.0","1920x1080","","3943.5999999996275","46.69","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","16","489603","0.0-16.0","1920x1080","","9342.400000000373","36.77","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","17","502899","0.0-17.0","1920x1080","","13295.100000000559","57.14","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","18","506835","0.0-18.0","1920x1080","","3935.399999999441","18.92","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","19","513633","0.0-19.0","1920x1080","","6799.399999999441","65","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","20","523328","0.0-20.0","1920x1080","","9694.699999999255","9","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","21","533769","0.0-21.0","1920x1080","","10439.5","36","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","22","539089","0.0-22.0","1920x1080","","5319.0999999996275","42.72","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","23","544161","0.0-23.0","1920x1080","","5071.200000000186","53","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","24","552825","0.0-24.0","1920x1080","","8663.299999999814","23","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","25","557873","0.0-25.0","1920x1080","","5046.5999999996275","67.33","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","26","571527","0.0-26.0","1920x1080","","13655","6","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","27","577175","0.0-27.0","1920x1080","","5647.700000000186","83.20","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","580527","0.0-28.0","1920x1080","","3350.9000000003725","77.38","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","29","588575","0.0-29.0","1920x1080","","8047.0999999996275","74.87","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","30","595119","0.0-30.0","1920x1080","","6542.200000000186","5.56","img/238/5.5/2/bw/001.png","","","complex"
