"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","43636","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","95181","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","137222","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","1096337","0.0-3.0","1920x1080","11:45 21/10/2022","","","","","",""
"","","","","","survey-html-form","4","1116350","0.0-4.0","1920x1080","","20010.399999999907","{""age"":""19"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","1213959","0.0-5.0","1920x1080","","97607.6000000001","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","1213959","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","1228679","0.0-7.0","1920x1080","","14716.299999999814","41.40","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","1258726","0.0-8.0","1920x1080","","30046.399999999907","77.51","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","1275414","0.0-9.0","1920x1080","","16687.100000000093","38.36","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","10","1290454","0.0-10.0","1920x1080","","15039.400000000373","65.74","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","11","1308494","0.0-11.0","1920x1080","","18038.299999999814","84.92","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","12","1318238","0.0-12.0","1920x1080","","9743.899999999907","84.92","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","1327094","0.0-13.0","1920x1080","","8854.600000000093","93.78","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","1333284","0.0-14.0","1920x1080","","6191.5","75.40","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","15","1350260","0.0-15.0","1920x1080","","16974.600000000093","94.97","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","16","1371157","0.0-16.0","1920x1080","","20896.600000000093","72.35","img/117/5.5/2/bw/001.png","","","complex"
