"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5957","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12092","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18214","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","285839","0.0-3.0","1920x1080","12:24 21/10/2022","","","","","",""
"","","","","","survey-html-form","4","299367","0.0-4.0","1920x1080","","13524.300000000745","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","360632","0.0-5.0","1920x1080","","61262.79999999888","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","360632","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","376759","0.0-7.0","1920x1080","","16126.200000001118","72.09","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","8","383903","0.0-8.0","1920x1080","","7142.39999999851","44.31","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","392399","0.0-9.0","1920x1080","","8495.300000000745","62.70","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","10","400687","0.0-10.0","1920x1080","","8287.5","81.35","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","11","409583","0.0-11.0","1920x1080","","8894.800000000745","84.13","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","418687","0.0-12.0","1920x1080","","9103.5","90.34","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","13","427943","0.0-13.0","1920x1080","","9255.89999999851","83.47","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","447615","0.0-14.0","1920x1080","","19670.699999999255","44.58","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","15","475815","0.0-15.0","1920x1080","","28199","20.37","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","16","518678","0.0-16.0","1920x1080","","42862.699999999255","64.68","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","17","528775","0.0-17.0","1920x1080","","10096.10000000149","55.56","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","18","543889","0.0-18.0","1920x1080","","15118.300000000745","21.16","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","19","550577","0.0-19.0","1920x1080","","6687.5","15.87","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","20","558705","0.0-20.0","1920x1080","","8127.4000000003725","58.33","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","564145","0.0-21.0","1920x1080","","5439.0999999996275","67.86","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","22","570601","0.0-22.0","1920x1080","","6455.199999999255","39.81","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","23","578145","0.0-23.0","1920x1080","","7543.199999999255","50.40","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","24","589209","0.0-24.0","1920x1080","","11062.799999998882","69.31","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","25","605616","0.0-25.0","1920x1080","","16407.299999998882","72.09","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","26","618616","0.0-26.0","1920x1080","","12999.5","30.03","img/314/5.5/0.66667/bw/001.png","","","complex"
