"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","45336","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","86026","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","128653","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","535886","0.0-3.0","1920x1080","9:7 24/10/2022","","","","","",""
"","","","","","survey-html-form","4","547848","0.0-4.0","1920x1080","","11958.5","{""age"":""18"",""gender"":""male""}","","","",""
"","","","","","html-button-response","5","614867","0.0-5.0","1920x1080","","66998.59999999998","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","614868","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","644547","0.0-7.0","1920x1080","","29676.900000000023","20.24","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","8","657715","0.0-8.0","1920x1080","","13166.29999999993","62.83","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","669483","0.0-9.0","1920x1080","","11767.400000000023","34.66","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","10","675684","0.0-10.0","1920x1080","","6206.800000000047","52.25","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","686116","0.0-11.0","1920x1080","","10430.600000000093","14.55","img/238/4.5/1.5/bw/001.png","","","complex"
