"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","36363","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","84501","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","108317","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","314292","0.0-3.0","1920x1080","9:56 24/10/2022","","","","","",""
"","","","","","survey-html-form","4","326736","0.0-4.0","1920x1080","","12443","{""age"":""-18"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","378427","0.0-5.0","1920x1080","","51630.600000000035","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","378428","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","405076","0.0-7.0","1920x1080","","26645.899999999965","50","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","8","433372","0.0-8.0","1920x1080","","28295.300000000047","50.00","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","9","468018","0.0-9.0","1920x1080","","34590.899999999965","50.26","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","10","477274","0.0-10.0","1920x1080","","9255.000000000058","84.79","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","496866","0.0-11.0","1920x1080","","19590.699999999953","80.16","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","12","505487","0.0-12.0","1920x1080","","8567.099999999977","29.76","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","509664","0.0-13.0","1920x1080","","4175.70000000007","0.00","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","14","516111","0.0-14.0","1920x1080","","6446.599999999977","80.42","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","15","531464","0.0-15.0","1920x1080","","15352.000000000058","30.16","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","16","539919","0.0-16.0","1920x1080","","8453.800000000047","64.55","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","17","548567","0.0-17.0","1920x1080","","8647","19.97","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","18","555207","0.0-18.0","1920x1080","","6639.599999999977","0.40","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","19","558989","0.0-19.0","1920x1080","","3726.8000000000466","0","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","20","566309","0.0-20.0","1920x1080","","7319.300000000047","14.68","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","572693","0.0-21.0","1920x1080","","6383.400000000023","30.29","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","22","580205","0.0-22.0","1920x1080","","7510.70000000007","0","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","23","586605","0.0-23.0","1920x1080","","6399.099999999977","70.11","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","24","592429","0.0-24.0","1920x1080","","5823.900000000023","50.13","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","25","599493","0.0-25.0","1920x1080","","7063.100000000093","30.03","img/117/4/0.66667/bw/001.png","","","complex"
