"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","32012","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","63781","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","88610","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","267208","0.0-3.0","1920x1080","12:48 24/10/2022","","","","","",""
"","","","","","survey-html-form","4","286051","0.0-4.0","1920x1080","","18840","{""age"":""18"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","369764","0.0-5.0","1920x1080","","83710.79999999888","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","369764","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","391212","0.0-7.0","1920x1080","","21445","84","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","399267","0.0-8.0","1920x1080","","8053.9000000003725","81.08","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","428804","0.0-9.0","1920x1080","","29535.200000001118","56","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","453076","0.0-10.0","1920x1080","","24271.200000001118","17.86","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","11","468996","0.0-11.0","1920x1080","","15919.10000000149","73.81","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","476388","0.0-12.0","1920x1080","","7390.699999999255","73.94","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","13","486338","0.0-13.0","1920x1080","","9950.900000000373","77.91","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","14","492250","0.0-14.0","1920x1080","","5910.89999999851","78.70","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","15","498378","0.0-15.0","1920x1080","","6127.299999998882","66.93","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","16","505874","0.0-16.0","1920x1080","","7495.299999998882","54.63","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","17","531786","0.0-17.0","1920x1080","","25910.900000000373","49.07","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","18","551212","0.0-18.0","1920x1080","","19423.099999999627","53.44","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","19","566076","0.0-19.0","1920x1080","","14863","50.00","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","20","580524","0.0-20.0","1920x1080","","14447.199999999255","28.17","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","594100","0.0-21.0","1920x1080","","13574.700000001118","35.19","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","22","599165","0.0-22.0","1920x1080","","5064.200000001118","4.63","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","23","608283","0.0-23.0","1920x1080","","9117.900000000373","5.03","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","24","614964","0.0-24.0","1920x1080","","6680.700000001118","60.19","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","624731","0.0-25.0","1920x1080","","9766.200000001118","62.17","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","26","638555","0.0-26.0","1920x1080","","13822.900000000373","45.50","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","27","644066","0.0-27.0","1920x1080","","5510.5999999996275","44.71","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","653411","0.0-28.0","1920x1080","","9343.599999999627","79.89","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","29","667279","0.0-29.0","1920x1080","","13870.599999999627","39.81","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","30","676256","0.0-30.0","1920x1080","","8975.5","39.68","img/117/2.5/1/bw/001.png","","","complex"
