"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","31186","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","66356","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","88518","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","547184","0.0-3.0","1920x1080","11:54 25/10/2022","","","","","",""
"","","","","","survey-html-form","4","558142","0.0-4.0","1920x1080","","10954.79999999702","{""age"":""20"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","605614","0.0-5.0","1920x1080","","47471.20000000298","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","605614","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","613782","0.0-7.0","1920x1080","","8164.9000000059605","16.53","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","8","618365","0.0-8.0","1920x1080","","4582.20000000298","29.89","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","9","623101","0.0-9.0","1920x1080","","4735.20000000298","5.03","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","10","628877","0.0-10.0","1920x1080","","5774.9000000059605","30.29","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","632157","0.0-11.0","1920x1080","","3278.7999999970198","9.66","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","12","637565","0.0-12.0","1920x1080","","5407.29999999702","26.98","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","13","640093","0.0-13.0","1920x1080","","2526.800000011921","39.95","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","14","642293","0.0-14.0","1920x1080","","2199.1000000089407","33.47","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","15","645685","0.0-15.0","1920x1080","","3391.5","22.09","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","16","650773","0.0-16.0","1920x1080","","5087.0999999940395","19.18","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","17","654085","0.0-17.0","1920x1080","","3311.0999999940395","22.22","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","18","663333","0.0-18.0","1920x1080","","9246.79999999702","17.06","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","19","667933","0.0-19.0","1920x1080","","4599.29999999702","21.83","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","20","670629","0.0-20.0","1920x1080","","2694.9000000059605","32.41","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","21","675413","0.0-21.0","1920x1080","","4783.5","17.46","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","22","679645","0.0-22.0","1920x1080","","4231.29999999702","23.15","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","23","688389","0.0-23.0","1920x1080","","8743.70000000298","13.89","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","24","690645","0.0-24.0","1920x1080","","2254.9000000059605","17.20","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","25","695829","0.0-25.0","1920x1080","","5183.5","34.79","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","26","698765","0.0-26.0","1920x1080","","2935.2000000029802","32.01","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","27","704149","0.0-27.0","1920x1080","","5383.0999999940395","38.36","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","710661","0.0-28.0","1920x1080","","6511.4000000059605","27.25","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","29","716749","0.0-29.0","1920x1080","","6087.20000000298","12.83","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","30","719606","0.0-30.0","1920x1080","","2856.2000000029802","11.77","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","31","723053","0.0-31.0","1920x1080","","3446.0999999940395","19.71","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","32","729948","0.0-32.0","1920x1080","","6895","18.65","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","33","733332","0.0-33.0","1920x1080","","3383.1000000089407","29.37","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","34","738923","0.0-34.0","1920x1080","","5591.0999999940395","19.05","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","35","742539","0.0-35.0","1920x1080","","3615.199999988079","18.39","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","36","746916","0.0-36.0","1920x1080","","4375.5","30.69","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","37","750700","0.0-37.0","1920x1080","","3783","20.90","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","38","758932","0.0-38.0","1920x1080","","8231.09999999404","18.78","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","39","765356","0.0-39.0","1920x1080","","6423.4000000059605","33.86","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","40","768300","0.0-40.0","1920x1080","","2942.8999999910593","28.97","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","41","772132","0.0-41.0","1920x1080","","3831.2000000029802","23.54","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","42","777956","0.0-42.0","1920x1080","","5823.100000008941","14.55","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","43","780467","0.0-43.0","1920x1080","","2511.0999999940395","19.18","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","44","788595","0.0-44.0","1920x1080","","8127.29999999702","22","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","45","792956","0.0-45.0","1920x1080","","4359.20000000298","28.57","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","46","796531","0.0-46.0","1920x1080","","3574.699999988079","31.35","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","47","799475","0.0-47.0","1920x1080","","2943.3999999910593","19.05","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","48","802236","0.0-48.0","1920x1080","","2759.6000000089407","21.16","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","49","805827","0.0-49.0","1920x1080","","3590.5","22","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","50","813307","0.0-50.0","1920x1080","","7479","22.75","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","51","818779","0.0-51.0","1920x1080","","5471.5","13","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","52","823667","0.0-52.0","1920x1080","","4886.9000000059605","28.17","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","53","826891","0.0-53.0","1920x1080","","3222.300000011921","35.98","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","54","848562","0.0-54.0","1920x1080","","21671","39.68","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","55","853978","0.0-55.0","1920x1080","","5415.29999999702","28","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","56","858674","0.0-56.0","1920x1080","","4694.899999991059","25.26","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","57","862651","0.0-57.0","1920x1080","","3975.8999999910593","23.81","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","58","866620","0.0-58.0","1920x1080","","3966.9000000059605","17.59","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","59","874626","0.0-59.0","1920x1080","","8006","36.24","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","60","877572","0.0-60.0","1920x1080","","2944.2000000029802","25.79","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","61","884314","0.0-61.0","1920x1080","","6742.0999999940395","15","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","62","893010","0.0-62.0","1920x1080","","8694.70000000298","17.59","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","63","898594","0.0-63.0","1920x1080","","5583.300000011921","33.07","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","64","911185","0.0-64.0","1920x1080","","12592.79999999702","2","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","65","916455","0.0-65.0","1920x1080","","5268.70000000298","25.00","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","66","921696","0.0-66.0","1920x1080","","5239.300000011921","28.70","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","67","925087","0.0-67.0","1920x1080","","3390.6000000089407","6.48","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","68","927752","0.0-68.0","1920x1080","","2662.7000000029802","13.89","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","69","930175","0.0-69.0","1920x1080","","2422.9000000059605","21.96","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","70","933328","0.0-70.0","1920x1080","","3151.2999999970198","19.18","img/238/2.5/1/bw/001.png","","","complex"
