"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","19139","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","38513","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","58024","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","64461","0.0-3.0","1920x1080","11:51 25/10/2022","","","","","",""
"","","","","","survey-html-form","4","81153","0.0-4.0","1920x1080","","16689.30000001192","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","153002","0.0-5.0","1920x1080","","71846.90000000596","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","153002","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","170426","0.0-7.0","1920x1080","","17420.90000000596","25","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","192433","0.0-8.0","1920x1080","","22006.29999999702","41.01","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","198359","0.0-9.0","1920x1080","","5927.5999999940395","50.26","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","10","207599","0.0-10.0","1920x1080","","9237","77.12","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","11","211487","0.0-11.0","1920x1080","","3887.2000000029802","36.77","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","12","245599","0.0-12.0","1920x1080","","34111.09999999404","43.52","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","252751","0.0-13.0","1920x1080","","7151.29999999702","0","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","14","263601","0.0-14.0","1920x1080","","10846.60000000894","0.40","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","15","272074","0.0-15.0","1920x1080","","8470.79999999702","46","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","16","289329","0.0-16.0","1920x1080","","17254.79999999702","16","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","17","300233","0.0-17.0","1920x1080","","10903.699999988079","19.58","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","18","323921","0.0-18.0","1920x1080","","23687.20000000298","64","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","19","339313","0.0-19.0","1920x1080","","15390.60000000894","6","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","20","344873","0.0-20.0","1920x1080","","5560","6.35","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","352081","0.0-21.0","1920x1080","","7206.79999999702","92","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","361345","0.0-22.0","1920x1080","","9262.89999999106","5.16","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","23","364761","0.0-23.0","1920x1080","","3415.5999999940395","90.87","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","368033","0.0-24.0","1920x1080","","3271.5999999940395","48.54","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","25","380305","0.0-25.0","1920x1080","","12271.29999999702","70","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","26","385657","0.0-26.0","1920x1080","","5351.199999988079","48.15","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","27","391689","0.0-27.0","1920x1080","","6031.0999999940395","28.31","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","28","403257","0.0-28.0","1920x1080","","11567.5","0.53","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","29","410841","0.0-29.0","1920x1080","","7581.70000000298","98","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","30","424641","0.0-30.0","1920x1080","","13798.79999999702","0","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","31","428777","0.0-31.0","1920x1080","","4135.600000008941","100","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","32","434433","0.0-32.0","1920x1080","","5654.5999999940395","38.76","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","33","438607","0.0-33.0","1920x1080","","4176.29999999702","91.80","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","34","453030","0.0-34.0","1920x1080","","14421.40000000596","0","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","35","464686","0.0-35.0","1920x1080","","11655.29999999702","15","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","36","476222","0.0-36.0","1920x1080","","11535","15.34","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","37","480998","0.0-37.0","1920x1080","","4775","0.13","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","38","488366","0.0-38.0","1920x1080","","7367","100","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","39","491614","0.0-39.0","1920x1080","","3247.0999999940395","90.08","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","40","504101","0.0-40.0","1920x1080","","12487.10000000894","0","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","41","526197","0.0-41.0","1920x1080","","22095","49","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","42","529390","0.0-42.0","1920x1080","","3192.6000000089407","34.26","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","43","532541","0.0-43.0","1920x1080","","3149.6000000089407","99","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","44","537941","0.0-44.0","1920x1080","","5399.800000011921","36.24","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","45","546237","0.0-45.0","1920x1080","","8294.699999988079","13.23","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","46","560905","0.0-46.0","1920x1080","","14662.699999988079","0","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","47","567664","0.0-47.0","1920x1080","","6759","33.60","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","48","570945","0.0-48.0","1920x1080","","3279.3999999910593","83.73","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","49","577161","0.0-49.0","1920x1080","","6215.4000000059605","25.93","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","50","580712","0.0-50.0","1920x1080","","3550.0999999940395","45.24","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","51","585680","0.0-51.0","1920x1080","","4967.4000000059605","18.25","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","52","588857","0.0-52.0","1920x1080","","3175.6000000089407","64.15","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","53","592944","0.0-53.0","1920x1080","","4086.2000000029802","64.55","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","54","596610","0.0-54.0","1920x1080","","3665.2999999970198","100","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","55","601152","0.0-55.0","1920x1080","","4541.4000000059605","31.22","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","56","616136","0.0-56.0","1920x1080","","14982.70000000298","100","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","57","624242","0.0-57.0","1920x1080","","8103.79999999702","0.13","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","58","630609","0.0-58.0","1920x1080","","6365.899999991059","24.34","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","59","632842","0.0-59.0","1920x1080","","2232.2999999970198","26.06","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","60","635626","0.0-60.0","1920x1080","","2782.300000011921","24.87","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","61","641872","0.0-61.0","1920x1080","","6244.899999991059","0.40","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","62","648208","0.0-62.0","1920x1080","","6335.399999991059","92.20","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","63","661520","0.0-63.0","1920x1080","","13310.29999999702","15.87","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","64","667056","0.0-64.0","1920x1080","","5534.9000000059605","0.40","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","65","676226","0.0-65.0","1920x1080","","9168.79999999702","0","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","66","679260","0.0-66.0","1920x1080","","3032","98","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","67","689770","0.0-67.0","1920x1080","","10508.40000000596","47.22","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","68","695050","0.0-68.0","1920x1080","","5279","3.17","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","69","699418","0.0-69.0","1920x1080","","4366.5","3.17","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","70","704202","0.0-70.0","1920x1080","","4783","73.81","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","71","708465","0.0-71.0","1920x1080","","4262.70000000298","47.35","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","72","711860","0.0-72.0","1920x1080","","3393.9000000059605","0.93","img/238/5.5/2/bw/001.png","","","complex"
