"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","19165","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","38273","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","57592","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","994119","0.0-3.0","1920x1080","12:53 25/10/2022","","","","","",""
"","","","","","survey-html-form","4","1003850","0.0-4.0","1920x1080","","9727.70000000298","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","1059034","0.0-5.0","1920x1080","","55182.70000000298","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","1059034","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","1074074","0.0-7.0","1920x1080","","15036.699999988079","75.53","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","8","1078665","0.0-8.0","1920x1080","","4590.29999999702","27.51","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","1086385","0.0-9.0","1920x1080","","7719.100000008941","40.48","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","10","1092513","0.0-10.0","1920x1080","","6126.899999991059","37.70","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","11","1097962","0.0-11.0","1920x1080","","5447.4000000059605","20.77","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","12","1101762","0.0-12.0","1920x1080","","3799","38.49","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","13","1107610","0.0-13.0","1920x1080","","5847.0999999940395","33.86","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","14","1117321","0.0-14.0","1920x1080","","9711","52.78","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","15","1120295","0.0-15.0","1920x1080","","2974.5999999940395","18.52","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","16","1123128","0.0-16.0","1920x1080","","2829","73.02","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","1127056","0.0-17.0","1920x1080","","3927.4000000059605","25.00","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","18","1131943","0.0-18.0","1920x1080","","4886.5999999940395","20","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","19","1134728","0.0-19.0","1920x1080","","2783.6000000089407","16.80","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","20","1139527","0.0-20.0","1920x1080","","4798.29999999702","30.82","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","21","1143272","0.0-21.0","1920x1080","","3743.199999988079","86","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","22","1147360","0.0-22.0","1920x1080","","4087.5","16.80","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","1150431","0.0-23.0","1920x1080","","3070.8999999910593","32.67","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","24","1152415","0.0-24.0","1920x1080","","1983.199999988079","27.25","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","25","1156432","0.0-25.0","1920x1080","","4015.2999999970198","41.01","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","26","1158895","0.0-26.0","1920x1080","","2463.199999988079","19.84","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","27","1161127","0.0-27.0","1920x1080","","2231.2000000029802","42.72","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","1164384","0.0-28.0","1920x1080","","3255.6000000089407","41.93","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","29","1166456","0.0-29.0","1920x1080","","2071.4000000059605","52","img/117/3.5/1/bw/001.png","","","complex"
