"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","6175","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12455","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18666","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","66944","0.0-3.0","1920x1080","12:52 25/10/2022","","","","","",""
"","","","","","survey-html-form","4","77031","0.0-4.0","1920x1080","","10084.40000000596","{""age"":""19"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","131127","0.0-5.0","1920x1080","","54094.90000000596","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","131128","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","162927","0.0-7.0","1920x1080","","31798","34.13","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","8","173695","0.0-8.0","1920x1080","","10767.09999999404","10","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","189591","0.0-9.0","1920x1080","","15894.800000011921","35.32","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","10","202863","0.0-10.0","1920x1080","","13271.5","28.57","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","211463","0.0-11.0","1920x1080","","8599.5","64.95","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","222639","0.0-12.0","1920x1080","","11175","97","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","232470","0.0-13.0","1920x1080","","9831","38.62","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","14","241254","0.0-14.0","1920x1080","","8783.199999988079","81","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","15","246574","0.0-15.0","1920x1080","","5319.4000000059605","87","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","16","251590","0.0-16.0","1920x1080","","5015.5","52","img/314/4/0.66667/bw/001.png","","","complex"
