"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","20670","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","40163","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","60015","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","192379","0.0-3.0","1920x1080","10:2 26/10/2022","","","","","",""
"","","","","","survey-html-form","4","201456","0.0-4.0","1920x1080","","9074.899999999994","{""age"":""21"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","311809","0.0-5.0","1920x1080","","110351.20000000004","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","311810","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","326081","0.0-7.0","1920x1080","","14268.100000000035","58.99","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","332600","0.0-8.0","1920x1080","","6518.099999999977","24.34","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","337232","0.0-9.0","1920x1080","","4631.400000000023","74.60","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","343457","0.0-10.0","1920x1080","","6223.599999999977","24.87","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","349353","0.0-11.0","1920x1080","","5894.700000000012","23.02","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","12","357512","0.0-12.0","1920x1080","","8158.900000000023","39.42","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","366696","0.0-13.0","1920x1080","","9183.5","69.18","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","14","375481","0.0-14.0","1920x1080","","8767.099999999977","58.47","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","15","382041","0.0-15.0","1920x1080","","6559.299999999988","4.89","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","16","390993","0.0-16.0","1920x1080","","8951.099999999977","62.04","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","402593","0.0-17.0","1920x1080","","11598.299999999988","48.54","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","18","409969","0.0-18.0","1920x1080","","7375.899999999965","9.13","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","419513","0.0-19.0","1920x1080","","9543","36","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","20","432424","0.0-20.0","1920x1080","","12878.899999999965","23.94","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","21","441776","0.0-21.0","1920x1080","","9351.699999999953","19.18","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","22","451008","0.0-22.0","1920x1080","","9231.099999999977","60.98","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","23","462464","0.0-23.0","1920x1080","","11455","5.42","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","24","468080","0.0-24.0","1920x1080","","5615.200000000012","73.02","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","25","473280","0.0-25.0","1920x1080","","5199.5","75.40","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","481152","0.0-26.0","1920x1080","","7871.099999999977","71.96","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","27","489616","0.0-27.0","1920x1080","","8463.200000000012","61","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","493974","0.0-28.0","1920x1080","","4327.300000000047","92.33","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","29","500958","0.0-29.0","1920x1080","","6983","73.68","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","30","508678","0.0-30.0","1920x1080","","7719.100000000093","68.39","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","31","516382","0.0-31.0","1920x1080","","7703.399999999907","2","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","32","519182","0.0-32.0","1920x1080","","2799.0999999999767","97","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","33","531894","0.0-33.0","1920x1080","","12711","31","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","34","535462","0.0-34.0","1920x1080","","3567.0999999999767","94","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","35","543854","0.0-35.0","1920x1080","","8391.599999999977","13.62","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","36","547519","0.0-36.0","1920x1080","","3663.4000000000233","66.80","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","37","551982","0.0-37.0","1920x1080","","4431.400000000023","75.40","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","38","556566","0.0-38.0","1920x1080","","4583.599999999977","82.67","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","39","564652","0.0-39.0","1920x1080","","8085.399999999907","16","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","40","571220","0.0-40.0","1920x1080","","6567.099999999977","45","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","41","576366","0.0-41.0","1920x1080","","5144.70000000007","82.01","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","42","581821","0.0-42.0","1920x1080","","5453.699999999953","3.57","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","43","591852","0.0-43.0","1920x1080","","10030.699999999953","38","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","44","599252","0.0-44.0","1920x1080","","7398.400000000023","8.20","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","45","613813","0.0-45.0","1920x1080","","14526.300000000047","68.12","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","46","623492","0.0-46.0","1920x1080","","9678","8.33","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","47","631620","0.0-47.0","1920x1080","","8126.900000000023","50.53","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","48","641460","0.0-48.0","1920x1080","","9839.199999999953","16.01","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","49","644756","0.0-49.0","1920x1080","","3295.0999999999767","86.90","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","50","652235","0.0-50.0","1920x1080","","7478.79999999993","52.12","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","51","655644","0.0-51.0","1920x1080","","3407.5999999999767","99","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","52","663604","0.0-52.0","1920x1080","","7958.900000000023","69","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","53","669756","0.0-53.0","1920x1080","","6151.099999999977","33.07","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","54","673106","0.0-54.0","1920x1080","","3335.0999999999767","96","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","55","678858","0.0-55.0","1920x1080","","5751","9.39","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","56","685386","0.0-56.0","1920x1080","","6526.800000000047","69.18","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","57","692482","0.0-57.0","1920x1080","","7094.800000000047","4.89","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","58","696018","0.0-58.0","1920x1080","","3535","90.08","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","59","705060","0.0-59.0","1920x1080","","9041.100000000093","55.42","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","60","719962","0.0-60.0","1920x1080","","14901.300000000047","48","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","61","727538","0.0-61.0","1920x1080","","7575","52.91","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","62","730361","0.0-62.0","1920x1080","","2822.5999999999767","94.58","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","63","736631","0.0-63.0","1920x1080","","6271","51.59","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","64","744647","0.0-64.0","1920x1080","","8014.699999999953","42.20","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","65","749168","0.0-65.0","1920x1080","","4519.300000000047","32.14","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","66","752642","0.0-66.0","1920x1080","","3473.1999999999534","36.77","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","67","756305","0.0-67.0","1920x1080","","3662.4000000000233","37.17","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","68","761143","0.0-68.0","1920x1080","","4836.800000000047","67.59","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","69","765263","0.0-69.0","1920x1080","","4119.099999999977","91.80","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","70","769858","0.0-70.0","1920x1080","","4594.199999999953","58","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","71","773479","0.0-71.0","1920x1080","","3620.0999999999767","6.35","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","72","777792","0.0-72.0","1920x1080","","4311.900000000023","81.35","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","73","785760","0.0-73.0","1920x1080","","7965.800000000047","33.47","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","74","788887","0.0-74.0","1920x1080","","3126.6999999999534","65.61","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","75","792180","0.0-75.0","1920x1080","","3288.100000000093","32.01","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","76","795146","0.0-76.0","1920x1080","","2965.79999999993","23.68","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","77","802861","0.0-77.0","1920x1080","","7714.099999999977","9","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","78","808682","0.0-78.0","1920x1080","","5819.70000000007","28.04","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","79","812930","0.0-79.0","1920x1080","","4247","65.87","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","80","816506","0.0-80.0","1920x1080","","3575.399999999907","95","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","81","820434","0.0-81.0","1920x1080","","3926.29999999993","100","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","html-button-response","82","876622","0.0-82.0","1920x1080","","56183.40000000002","","<div class=""intro"">You are about to view a new series of animations.<br><br></div><div class=""intro"">You will evaluate them based on a different descriptor.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">APPEALING</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Appealing<br></div><div class=""intro"">1 = Most Appealing<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div>","0","",""
"","","","","","call-function","83","876625","0.0-83.0","1920x1080","","","","","","",""
"","","","","","animation","84","896029","0.0-84.0","1920x1080","","19403","24.60","img/117/3.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","85","901398","0.0-85.0","1920x1080","","5367.400000000023","80","img/314/4.5/2/bw/001.png","","","appealing"
"","","","","","animation","86","905297","0.0-86.0","1920x1080","","3897.8000000000466","17","img/238/4/1.5/bw/001.png","","","appealing"
"","","","","","animation","87","909173","0.0-87.0","1920x1080","","3874.9000000000233","0","img/314/2.5/2/bw/001.png","","","appealing"
"","","","","","animation","88","918566","0.0-88.0","1920x1080","","9398.800000000047","0.53","img/238/2.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","89","922798","0.0-89.0","1920x1080","","4231","18.25","img/117/4/1/bw/001.png","","","appealing"
"","","","","","animation","90","927182","0.0-90.0","1920x1080","","4383.099999999977","6.61","img/238/3.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","91","929541","0.0-91.0","1920x1080","","2358.5999999999767","4","img/314/3.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","92","932046","0.0-92.0","1920x1080","","2503.3000000000466","1.32","img/117/2.5/1/bw/001.png","","","appealing"
