"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5983","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12151","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18134","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","189834","0.0-3.0","1920x1080","15:3 26/10/2022","","","","","",""
"","","","","","survey-html-form","4","200686","0.0-4.0","1920x1080","","10849.10000000149","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","234510","0.0-5.0","1920x1080","","33822.79999999702","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","234511","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","241278","0.0-7.0","1920x1080","","6766.5","96","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","8","247486","0.0-8.0","1920x1080","","6206.699999999255","67","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","253197","0.0-9.0","1920x1080","","5710.89999999851","81.61","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","258590","0.0-10.0","1920x1080","","5391.29999999702","3.31","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","11","262941","0.0-11.0","1920x1080","","4350.699999999255","86.11","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","12","269878","0.0-12.0","1920x1080","","6936.099999997765","37","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","275869","0.0-13.0","1920x1080","","5990.5","67.99","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","14","281670","0.0-14.0","1920x1080","","5799.39999999851","52.91","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","15","293790","0.0-15.0","1920x1080","","12119.199999999255","46","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","302549","0.0-16.0","1920x1080","","8758.699999999255","4.23","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","306213","0.0-17.0","1920x1080","","3663.10000000149","100","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","18","314288","0.0-18.0","1920x1080","","8079.60000000149","70","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","19","322328","0.0-19.0","1920x1080","","8039","48.54","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","20","327489","0.0-20.0","1920x1080","","5160.400000002235","95","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","21","332439","0.0-21.0","1920x1080","","4949.699999999255","100","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","22","337936","0.0-22.0","1920x1080","","5495.599999997765","29.23","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","349543","0.0-23.0","1920x1080","","11607","24.87","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","24","353673","0.0-24.0","1920x1080","","4128.300000000745","98","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","25","357168","0.0-25.0","1920x1080","","3494.39999999851","100","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","26","364831","0.0-26.0","1920x1080","","7662.79999999702","67","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","27","374187","0.0-27.0","1920x1080","","9351.5","22","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","28","380763","0.0-28.0","1920x1080","","6575","50.26","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","29","386515","0.0-29.0","1920x1080","","5751.199999999255","12.17","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","394627","0.0-30.0","1920x1080","","8111.300000000745","46.56","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","31","404539","0.0-31.0","1920x1080","","9911","14","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","32","414660","0.0-32.0","1920x1080","","10119.900000002235","76","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","33","424347","0.0-33.0","1920x1080","","9686.199999999255","50.66","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","34","428672","0.0-34.0","1920x1080","","4328.10000000149","87.04","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","35","434983","0.0-35.0","1920x1080","","6310","54.50","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","36","442543","0.0-36.0","1920x1080","","7559.099999997765","93","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","37","450031","0.0-37.0","1920x1080","","7487.39999999851","1.98","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","38","454320","0.0-38.0","1920x1080","","4286.699999999255","100","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","39","461775","0.0-39.0","1920x1080","","7454.900000002235","70.77","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","40","465023","0.0-40.0","1920x1080","","3246.800000000745","100","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","41","473095","0.0-41.0","1920x1080","","8071.300000000745","7","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","42","477767","0.0-42.0","1920x1080","","4671.5","21.16","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","43","483072","0.0-43.0","1920x1080","","5303.199999999255","43.92","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","44","491740","0.0-44.0","1920x1080","","8663","55","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","45","498988","0.0-45.0","1920x1080","","7246.79999999702","69.05","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","46","503924","0.0-46.0","1920x1080","","4935.300000000745","86","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","47","517300","0.0-47.0","1920x1080","","13375","27.51","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","48","527204","0.0-48.0","1920x1080","","9902.199999999255","29.89","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","49","534627","0.0-49.0","1920x1080","","7422.599999997765","16.53","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","50","540604","0.0-50.0","1920x1080","","5975.699999999255","90.08","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","51","546252","0.0-51.0","1920x1080","","5646.79999999702","76.32","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","52","555363","0.0-52.0","1920x1080","","9110.800000000745","74","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","53","562210","0.0-53.0","1920x1080","","6846.099999997765","9","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","54","565026","0.0-54.0","1920x1080","","2815.300000000745","100","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","55","570251","0.0-55.0","1920x1080","","5223.5","84.39","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","56","573243","0.0-56.0","1920x1080","","2990.800000000745","100","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","57","576226","0.0-57.0","1920x1080","","2982.60000000149","100","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","58","579643","0.0-58.0","1920x1080","","3415.39999999851","94.58","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","59","584075","0.0-59.0","1920x1080","","4431.20000000298","64.95","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","60","589827","0.0-60.0","1920x1080","","5750.39999999851","59","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","61","596109","0.0-61.0","1920x1080","","6281.20000000298","42.99","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","62","603260","0.0-62.0","1920x1080","","7149.5","56","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","63","608223","0.0-63.0","1920x1080","","4958.29999999702","100","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","64","613270","0.0-64.0","1920x1080","","5046.89999999851","100","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","65","618382","0.0-65.0","1920x1080","","5110.89999999851","53","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","66","626351","0.0-66.0","1920x1080","","7966.699999999255","54","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","67","632030","0.0-67.0","1920x1080","","5679","28","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","68","638959","0.0-68.0","1920x1080","","6927.400000002235","100","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","69","641830","0.0-69.0","1920x1080","","2870.199999999255","100","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","70","651946","0.0-70.0","1920x1080","","10115.20000000298","12","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","71","656198","0.0-71.0","1920x1080","","4251","71.69","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","72","660146","0.0-72.0","1920x1080","","3946.599999997765","84.13","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","73","663246","0.0-73.0","1920x1080","","3099.2999999970198","100","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","74","673013","0.0-74.0","1920x1080","","9766.900000002235","94.58","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","75","677781","0.0-75.0","1920x1080","","4767.400000002235","20.50","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","76","682229","0.0-76.0","1920x1080","","4446.699999999255","51.72","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","77","688613","0.0-77.0","1920x1080","","6383.10000000149","30.03","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","78","694469","0.0-78.0","1920x1080","","5855.300000000745","51.59","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","79","700837","0.0-79.0","1920x1080","","6367","72.88","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","80","704678","0.0-80.0","1920x1080","","3837","85.71","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","81","710069","0.0-81.0","1920x1080","","5390.39999999851","70.24","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","html-button-response","82","729218","0.0-82.0","1920x1080","","19142.800000000745","","<div class=""intro"">You are about to view a new series of animations.<br><br></div><div class=""intro"">You will evaluate them based on a different descriptor.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">INTERESTING</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Interesting<br></div><div class=""intro"">1 = Most Interesting<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div>","0","",""
"","","","","","call-function","83","729219","0.0-83.0","1920x1080","","","","","","",""
"","","","","","animation","84","733466","0.0-84.0","1920x1080","","4246.199999999255","98","img/314/2.5/0.66667/bw/001.png","","","interesting"
"","","","","","animation","85","741178","0.0-85.0","1920x1080","","7710.699999999255","63.49","img/238/4/1.5/bw/001.png","","","interesting"
"","","","","","animation","86","745458","0.0-86.0","1920x1080","","4278.89999999851","82.94","img/238/3.5/2/bw/001.png","","","interesting"
"","","","","","animation","87","749554","0.0-87.0","1920x1080","","4095.2000000029802","48.94","img/314/4/1.5/bw/001.png","","","interesting"
"","","","","","animation","88","755722","0.0-88.0","1920x1080","","6167","88.49","img/238/3.5/0.5/bw/001.png","","","interesting"
