"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","35674","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","77735","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","101213","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","126774","0.0-3.0","1920x1080","15:7 26/10/2022","","","","","",""
"","","","","","survey-html-form","4","134163","0.0-4.0","1920x1080","","7385.899999999965","{""age"":""19"",""gender"":""male""}","","","",""
"","","","","","html-button-response","5","170571","0.0-5.0","1920x1080","","36406.600000000035","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","170571","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","239666","0.0-7.0","1920x1080","","69092.20000000001","35","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","8","290985","0.0-8.0","1920x1080","","51325.80000000002","27","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","9","322766","0.0-9.0","1920x1080","","31783","49.74","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","10","348934","0.0-10.0","1920x1080","","26167","65.34","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","11","416094","0.0-11.0","1920x1080","","67167","77","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","12","435653","0.0-12.0","1920x1080","","19566.900000000023","70","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","13","498454","0.0-13.0","1920x1080","","62798.39999999991","63","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","14","532774","0.0-14.0","1920x1080","","34318.90000000002","14","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","15","540246","0.0-15.0","1920x1080","","7471.099999999977","29.89","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","554484","0.0-16.0","1920x1080","","14239.400000000023","25","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","17","565925","0.0-17.0","1920x1080","","11439.699999999953","63.10","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","18","575428","0.0-18.0","1920x1080","","9502","73.41","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","19","592164","0.0-19.0","1920x1080","","16735.5","45","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","20","600708","0.0-20.0","1920x1080","","8543.20000000007","60.45","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","21","609740","0.0-21.0","1920x1080","","9032.300000000047","67.46","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","631067","0.0-22.0","1920x1080","","21326","48","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","23","637251","0.0-23.0","1920x1080","","6183.599999999977","29.63","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","649451","0.0-24.0","1920x1080","","12199.099999999977","57.41","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","25","662259","0.0-25.0","1920x1080","","12806.5","60.85","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","26","666079","0.0-26.0","1920x1080","","3822.5999999999767","61.11","img/314/4/2/bw/001.png","","","complex"
