"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5970","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12157","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18335","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","53033","0.0-3.0","1920x1080","15:45 26/10/2022","","","","","",""
"","","","","","survey-html-form","4","61684","0.0-4.0","1920x1080","","8647.699999999255","{""age"":""21"",""gender"":""male""}","","","",""
"","","","","","html-button-response","5","94091","0.0-5.0","1920x1080","","32406.699999999255","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","94092","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","110027","0.0-7.0","1920x1080","","15934.20000000298","25","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","8","119236","0.0-8.0","1920x1080","","9207.099999997765","75","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","9","127947","0.0-9.0","1920x1080","","8710.89999999851","20","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","10","143315","0.0-10.0","1920x1080","","15366.5","10","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","11","150443","0.0-11.0","1920x1080","","7127","49.74","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","12","163595","0.0-12.0","1920x1080","","13151.099999997765","25.26","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","13","170203","0.0-13.0","1920x1080","","6607.199999999255","67.99","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","14","175986","0.0-14.0","1920x1080","","5782.699999999255","81.48","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","15","184819","0.0-15.0","1920x1080","","8832","83.99","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","16","198451","0.0-16.0","1920x1080","","13630.79999999702","71","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","17","203467","0.0-17.0","1920x1080","","5015","20.37","img/314/5.5/0.5/bw/001.png","","","complex"
