"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","18169","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","36996","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","55590","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","92128","0.0-3.0","1920x1080","11:28 27/10/2022","","","","","",""
"","","","","","survey-html-form","4","100688","0.0-4.0","1920x1080","","8559.100000000006","{""age"":""21"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","183665","0.0-5.0","1920x1080","","82975.69999999998","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","183665","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","195104","0.0-7.0","1920x1080","","11436.100000000006","62.83","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","8","202024","0.0-8.0","1920x1080","","6918.700000000012","73.94","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","9","216463","0.0-9.0","1920x1080","","14438.600000000006","84.79","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","10","219023","0.0-10.0","1920x1080","","2559.100000000006","75.66","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","11","220999","0.0-11.0","1920x1080","","1975.3000000000175","94.18","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","225111","0.0-12.0","1920x1080","","4111.200000000012","93.65","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","13","230167","0.0-13.0","1920x1080","","5055.200000000012","89.15","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","14","234976","0.0-14.0","1920x1080","","4807.799999999988","96","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","15","240776","0.0-15.0","1920x1080","","5798.899999999965","24","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","243304","0.0-16.0","1920x1080","","2527.2999999999884","22.35","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","17","245783","0.0-17.0","1920x1080","","2478.600000000035","68.12","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","18","247848","0.0-18.0","1920x1080","","2064","48.94","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","19","249848","0.0-19.0","1920x1080","","1999.2999999999884","35.58","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","20","251904","0.0-20.0","1920x1080","","2054.5","54.23","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","21","254480","0.0-21.0","1920x1080","","2575.2999999999884","40.74","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","22","256376","0.0-22.0","1920x1080","","1895.2999999999884","68.78","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","23","260200","0.0-23.0","1920x1080","","3823.0999999999767","73.41","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","24","262776","0.0-24.0","1920x1080","","2575.0999999999767","90.34","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","265088","0.0-25.0","1920x1080","","2311.2000000000116","36.77","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","26","269183","0.0-26.0","1920x1080","","4094.899999999965","97","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","27","271672","0.0-27.0","1920x1080","","2487.7999999999884","18.92","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","28","277840","0.0-28.0","1920x1080","","6167","56.75","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","29","282415","0.0-29.0","1920x1080","","4574.599999999977","97","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","30","284504","0.0-30.0","1920x1080","","2087.4000000000233","96","img/117/2.5/1.5/bw/001.png","","","complex"
