"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","6046","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12202","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18438","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","1760755","0.0-3.0","1920x1080","11:52 27/10/2022","","","","","",""
"","","","","","survey-html-form","4","1772852","0.0-4.0","1920x1080","","12093.600000000093","{""age"":""18"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","1884583","0.0-5.0","1920x1080","","111726.70000000019","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","1884584","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","1898862","0.0-7.0","1920x1080","","14277.600000000093","0.00","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","1916295","0.0-8.0","1920x1080","","17431.899999999907","100","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","9","1926087","0.0-9.0","1920x1080","","9790.700000000186","0","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","10","1935295","0.0-10.0","1920x1080","","9205.899999999907","100","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","11","1943823","0.0-11.0","1920x1080","","8526.799999999814","100","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","12","1954951","0.0-12.0","1920x1080","","11127.5","100","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","1961711","0.0-13.0","1920x1080","","6759.600000000093","100","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","14","1980271","0.0-14.0","1920x1080","","18558.799999999814","100","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","15","1995007","0.0-15.0","1920x1080","","14735.399999999907","100","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","16","2001071","0.0-16.0","1920x1080","","6062.800000000279","0.40","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","2018670","0.0-17.0","1920x1080","","17598.799999999814","0","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","18","2023502","0.0-18.0","1920x1080","","4831.5","100","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","2030246","0.0-19.0","1920x1080","","6742.700000000186","100","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","20","2039406","0.0-20.0","1920x1080","","9159.5","100","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","21","2049790","0.0-21.0","1920x1080","","10383.200000000186","100","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","22","2054206","0.0-22.0","1920x1080","","4415.100000000093","0.40","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","2058774","0.0-23.0","1920x1080","","4567.100000000093","100","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","2063127","0.0-24.0","1920x1080","","4352.399999999907","0","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","25","2084467","0.0-25.0","1920x1080","","21342","100","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","26","2095611","0.0-26.0","1920x1080","","11142","77.78","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","27","2111747","0.0-27.0","1920x1080","","16135.100000000093","19.97","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","28","2119547","0.0-28.0","1920x1080","","7799","68.12","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","29","2127261","0.0-29.0","1920x1080","","7710.699999999721","17.33","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","30","2130718","0.0-30.0","1920x1080","","3455.7999999998137","22.09","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","31","2133694","0.0-31.0","1920x1080","","2975.5","25.13","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","32","2138437","0.0-32.0","1920x1080","","4742.700000000186","24.60","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","33","2142390","0.0-33.0","1920x1080","","3951.600000000093","41.14","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","34","2157159","0.0-34.0","1920x1080","","14766.399999999907","22.49","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","35","2163421","0.0-35.0","1920x1080","","6261.300000000279","43.65","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","36","2169942","0.0-36.0","1920x1080","","6520.100000000093","11.77","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","37","2172574","0.0-37.0","1920x1080","","2630.5999999996275","10.98","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","38","2176453","0.0-38.0","1920x1080","","3878.899999999907","79.76","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","39","2180318","0.0-39.0","1920x1080","","3863.399999999907","60.85","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","40","2184780","0.0-40.0","1920x1080","","4462.899999999907","51.98","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","41","2187996","0.0-41.0","1920x1080","","3215","87.17","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","42","2192309","0.0-42.0","1920x1080","","4311.700000000186","35.71","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","43","2200476","0.0-43.0","1920x1080","","8166.199999999721","26.32","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","44","2203860","0.0-44.0","1920x1080","","3382.899999999907","25.26","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","45","2212116","0.0-45.0","1920x1080","","8255.5","17.33","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","46","2216796","0.0-46.0","1920x1080","","4678.699999999721","82.28","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","47","2222309","0.0-47.0","1920x1080","","5512.199999999721","20.11","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","48","2242612","0.0-48.0","1920x1080","","20302.200000000186","63.23","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","49","2250915","0.0-49.0","1920x1080","","8301.5","89.15","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","50","2254746","0.0-50.0","1920x1080","","3830.7999999998137","89.55","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","51","2259315","0.0-51.0","1920x1080","","4567.300000000279","7.80","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","52","2269651","0.0-52.0","1920x1080","","10335","79.89","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","53","2277291","0.0-53.0","1920x1080","","7639.5","89.95","img/238/2.5/1.5/bw/001.png","","","complex"
