"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","6044","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12192","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18207","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","192692","0.0-3.0","1920x1080","13:28 27/10/2022","","","","","",""
"","","","","","survey-html-form","4","201950","0.0-4.0","1920x1080","","9254.900000000373","{""age"":""19"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","275304","0.0-5.0","1920x1080","","73350.79999999981","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","275305","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","284248","0.0-7.0","1920x1080","","8942.299999999814","71","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","8","311832","0.0-8.0","1920x1080","","27583.200000000186","33.20","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","9","314664","0.0-9.0","1920x1080","","2831.0999999996275","23.15","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","10","317024","0.0-10.0","1920x1080","","2359","6.75","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","11","320208","0.0-11.0","1920x1080","","3183.2999999998137","78.70","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","324624","0.0-12.0","1920x1080","","4415.200000000186","14","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","13","326784","0.0-13.0","1920x1080","","2159.5","96","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","329072","0.0-14.0","1920x1080","","2287.2999999998137","79","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","15","331712","0.0-15.0","1920x1080","","2639.399999999441","100","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","16","333792","0.0-16.0","1920x1080","","2079.2999999998137","73.81","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","17","337688","0.0-17.0","1920x1080","","3895","84","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","18","341608","0.0-18.0","1920x1080","","3919.600000000559","32","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","19","345018","0.0-19.0","1920x1080","","3408.0999999996275","99","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","20","348129","0.0-20.0","1920x1080","","3110.2999999998137","100","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","352137","0.0-21.0","1920x1080","","4007.0999999996275","96","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","354961","0.0-22.0","1920x1080","","2822.5999999996275","96","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","357649","0.0-23.0","1920x1080","","2687.5","89.42","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","24","362097","0.0-24.0","1920x1080","","4446.700000000186","76","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","25","366041","0.0-25.0","1920x1080","","3943.5","80.82","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","26","368425","0.0-26.0","1920x1080","","2383.2999999998137","85.71","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","27","372457","0.0-27.0","1920x1080","","4031","100","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","28","376145","0.0-28.0","1920x1080","","3687.399999999441","46.69","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","29","378945","0.0-29.0","1920x1080","","2799","67","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","30","381802","0.0-30.0","1920x1080","","2856.600000000559","95","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","31","387757","0.0-31.0","1920x1080","","5953.9000000003725","12","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","32","391025","0.0-32.0","1920x1080","","3267.2999999998137","17.59","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","33","395641","0.0-33.0","1920x1080","","4615.199999999255","55.29","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","34","400977","0.0-34.0","1920x1080","","5334.5999999996275","31.61","img/238/5.5/0.5/bw/001.png","","","complex"
