"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","43551","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","83744","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","128039","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","244711","0.0-3.0","1920x1080","10:40 28/10/2022","","","","","",""
"","","","","","survey-html-form","4","258413","0.0-4.0","1920x1080","","13698.899999999965","{""age"":""23"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","327835","0.0-5.0","1920x1080","","69471.20000000001","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","327836","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","344858","0.0-7.0","1920x1080","","17019.900000000023","6.61","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","8","355299","0.0-8.0","1920x1080","","10439.200000000012","24.60","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","362714","0.0-9.0","1920x1080","","7414.400000000023","23.15","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","10","372946","0.0-10.0","1920x1080","","10231.399999999965","17.72","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","11","387112","0.0-11.0","1920x1080","","14278.600000000035","33.20","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","12","395144","0.0-12.0","1920x1080","","8030.899999999965","34.66","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","13","406984","0.0-13.0","1920x1080","","11839.699999999953","41","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","14","414872","0.0-14.0","1920x1080","","7887.099999999977","31.08","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","422384","0.0-15.0","1920x1080","","7511","40.21","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","16","437224","0.0-16.0","1920x1080","","14839.099999999977","37.04","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","448668","0.0-17.0","1920x1080","","11558.899999999965","47.22","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","460979","0.0-18.0","1920x1080","","12310.799999999988","38.10","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","19","476051","0.0-19.0","1920x1080","","15071","49.74","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","20","482500","0.0-20.0","1920x1080","","6447.799999999988","52.25","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","497620","0.0-21.0","1920x1080","","15119.099999999977","46.30","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","22","508055","0.0-22.0","1920x1080","","10551.29999999993","53.44","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","23","526415","0.0-23.0","1920x1080","","18358.599999999977","49.60","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","24","536839","0.0-24.0","1920x1080","","10423.400000000023","48.54","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","25","540455","0.0-25.0","1920x1080","","3615.29999999993","51.98","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","26","546671","0.0-26.0","1920x1080","","6215.099999999977","50.66","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","27","549455","0.0-27.0","1920x1080","","2782.9000000000233","55.42","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","28","557063","0.0-28.0","1920x1080","","7607.199999999953","55.42","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","29","568352","0.0-29.0","1920x1080","","11407.300000000047","55.82","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","30","585160","0.0-30.0","1920x1080","","16806.699999999953","52.65","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","31","599936","0.0-31.0","1920x1080","","14775.400000000023","50.40","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","32","605152","0.0-32.0","1920x1080","","5214.699999999953","53.97","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","33","613240","0.0-33.0","1920x1080","","8087.300000000047","49.07","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","34","619264","0.0-34.0","1920x1080","","6023.5","53.84","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","35","626235","0.0-35.0","1920x1080","","7031.20000000007","53.31","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","36","639571","0.0-36.0","1920x1080","","13335.20000000007","55.29","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","37","645507","0.0-37.0","1920x1080","","5934.900000000023","51","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","38","653803","0.0-38.0","1920x1080","","8294.599999999977","59.39","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","39","670171","0.0-39.0","1920x1080","","16367.099999999977","53.17","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","40","678043","0.0-40.0","1920x1080","","7871.300000000047","52.12","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","41","688509","0.0-41.0","1920x1080","","10470.400000000023","58","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","42","694758","0.0-42.0","1920x1080","","6248.099999999977","53.84","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","43","705485","0.0-43.0","1920x1080","","10725.70000000007","51.06","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","44","720407","0.0-44.0","1920x1080","","14920.600000000093","51.85","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","45","726486","0.0-45.0","1920x1080","","6077.70000000007","55.95","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","46","731845","0.0-46.0","1920x1080","","5358.899999999907","49.47","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","47","736109","0.0-47.0","1920x1080","","4262.800000000047","56.35","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","48","739223","0.0-48.0","1920x1080","","3113.600000000093","58.99","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","49","743245","0.0-49.0","1920x1080","","4014.6999999999534","62.83","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","50","752530","0.0-50.0","1920x1080","","9284.5","53.31","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","51","759659","0.0-51.0","1920x1080","","7127.400000000023","54.23","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","52","763730","0.0-52.0","1920x1080","","4070.3000000000466","52.38","img/238/4/1.5/bw/001.png","","","complex"
