"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","6008","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12202","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18293","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","353222","0.0-3.0","1920x1080","11:47 28/10/2022","","","","","",""
"","","","","","survey-html-form","4","366804","0.0-4.0","1920x1080","","13579","{""age"":""20"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","430100","0.0-5.0","1920x1080","","63294.800000000745","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","430101","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","441164","0.0-7.0","1920x1080","","11061.799999999814","8.20","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","8","452084","0.0-8.0","1920x1080","","10918.700000000186","0.53","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","9","457908","0.0-9.0","1920x1080","","5823.799999999814","55.69","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","10","461700","0.0-10.0","1920x1080","","3790.7999999998137","91.14","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","11","468596","0.0-11.0","1920x1080","","6895","55.16","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","12","471877","0.0-12.0","1920x1080","","3280.4000000003725","100","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","476300","0.0-13.0","1920x1080","","4422.4000000003725","5.69","img/117/4/2/bw/001.png","","","complex"
