"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","42991","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","93359","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","134999","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","143730","0.0-3.0","1920x1080","12:57 28/10/2022","","","","","",""
"","","","","","survey-html-form","4","172458","0.0-4.0","1920x1080","","28725.100000000006","{""age"":""21"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","226066","0.0-5.0","1920x1080","","53606.600000000035","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","226067","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","236787","0.0-7.0","1920x1080","","10717.099999999977","55.29","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","242438","0.0-8.0","1920x1080","","5653.599999999977","32.28","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","9","245902","0.0-9.0","1920x1080","","3463","0","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","255950","0.0-10.0","1920x1080","","10047.099999999977","80.82","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","259566","0.0-11.0","1920x1080","","3615.500000000029","56.75","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","12","263910","0.0-12.0","1920x1080","","4342.400000000023","79.63","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","13","267822","0.0-13.0","1920x1080","","3911.399999999965","6.88","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","14","272125","0.0-14.0","1920x1080","","4302.5","2.38","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","15","275605","0.0-15.0","1920x1080","","3479.2000000000116","0","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","16","280805","0.0-16.0","1920x1080","","5199.400000000023","56.48","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","284253","0.0-17.0","1920x1080","","3447.100000000035","39.02","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","18","287389","0.0-18.0","1920x1080","","3135.2000000000116","25.79","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","19","290726","0.0-19.0","1920x1080","","3335.7999999999884","84.92","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","20","295558","0.0-20.0","1920x1080","","4831.399999999965","94.58","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","21","299739","0.0-21.0","1920x1080","","4191.5","96","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","22","303172","0.0-22.0","1920x1080","","3431.9000000000233","38.23","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","23","306507","0.0-23.0","1920x1080","","3334.0999999999767","53.17","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","24","309372","0.0-24.0","1920x1080","","2864.4000000000233","85.19","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","25","313772","0.0-25.0","1920x1080","","4399.200000000012","39.95","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","26","317723","0.0-26.0","1920x1080","","3949.5","81.61","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","27","320572","0.0-27.0","1920x1080","","2848.7000000000116","92.33","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","28","323363","0.0-28.0","1920x1080","","2790.2000000000116","70.24","img/238/4/0.5/bw/001.png","","","complex"
