"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","46317","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","87393","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","131219","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","136035","0.0-3.0","1920x1080","11:1 31/10/2022","","","","","",""
"","","","","","survey-html-form","4","146548","0.0-4.0","1920x1080","","10510.5","{""age"":""18"",""gender"":""male""}","","","",""
"","","","","","html-button-response","5","237005","0.0-5.0","1920x1080","","90456","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","237006","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","256813","0.0-7.0","1920x1080","","19804","80","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","8","271733","0.0-8.0","1920x1080","","14918.800000000047","91.93","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","9","284285","0.0-9.0","1920x1080","","12551","78.44","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","10","293005","0.0-10.0","1920x1080","","8719.099999999977","29.76","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","11","300468","0.0-11.0","1920x1080","","7551.5","38.10","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","12","309468","0.0-12.0","1920x1080","","8999.200000000012","51.85","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","13","321875","0.0-13.0","1920x1080","","12406.299999999988","96","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","14","330323","0.0-14.0","1920x1080","","8447.200000000012","11.77","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","338851","0.0-15.0","1920x1080","","8526.600000000035","98","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","350763","0.0-16.0","1920x1080","","11911.400000000023","44.18","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","357006","0.0-17.0","1920x1080","","6335.100000000035","64.29","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","18","366775","0.0-18.0","1920x1080","","9767.700000000012","10.45","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","19","372910","0.0-19.0","1920x1080","","6134.399999999965","34.13","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","20","380062","0.0-20.0","1920x1080","","7151.299999999988","55.82","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","390375","0.0-21.0","1920x1080","","10312.199999999953","100","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","22","400838","0.0-22.0","1920x1080","","10462.700000000012","66","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","407359","0.0-23.0","1920x1080","","6519.400000000023","74.47","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","24","419348","0.0-24.0","1920x1080","","12070.700000000012","66.01","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","431836","0.0-25.0","1920x1080","","12487.300000000047","6","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","26","446364","0.0-26.0","1920x1080","","14526.5","55.82","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","27","452043","0.0-27.0","1920x1080","","5678.79999999993","8.33","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","28","460068","0.0-28.0","1920x1080","","8023.79999999993","90.48","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","29","470068","0.0-29.0","1920x1080","","9998.900000000023","88.23","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","30","474435","0.0-30.0","1920x1080","","4456.699999999953","7.80","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","31","487658","0.0-31.0","1920x1080","","13221.20000000007","81.75","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","32","497874","0.0-32.0","1920x1080","","10215.20000000007","16.40","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","33","507642","0.0-33.0","1920x1080","","9767.400000000023","64.15","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","34","512498","0.0-34.0","1920x1080","","4855.29999999993","74","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","35","518442","0.0-35.0","1920x1080","","5943.099999999977","18.12","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","36","532002","0.0-36.0","1920x1080","","13558.999999999942","56","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","37","539853","0.0-37.0","1920x1080","","7934.800000000047","96","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","38","555437","0.0-38.0","1920x1080","","15583.100000000093","73.68","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","39","567918","0.0-39.0","1920x1080","","12479.599999999977","64.15","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","40","576478","0.0-40.0","1920x1080","","8559","86","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","41","583814","0.0-41.0","1920x1080","","7335.100000000093","69.58","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","42","595420","0.0-42.0","1920x1080","","11606.400000000023","98","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","43","603061","0.0-43.0","1920x1080","","7639.5","100","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","44","614245","0.0-44.0","1920x1080","","11182.400000000023","6","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","45","626189","0.0-45.0","1920x1080","","11942.899999999907","6","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","46","637037","0.0-46.0","1920x1080","","10847.300000000047","52","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","47","641997","0.0-47.0","1920x1080","","4959","58.33","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","48","647197","0.0-48.0","1920x1080","","5198.900000000023","92.06","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","49","661584","0.0-49.0","1920x1080","","14390.400000000023","12","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","50","665209","0.0-50.0","1920x1080","","3623.5","17.99","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","51","671921","0.0-51.0","1920x1080","","6710.900000000023","96","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","52","675648","0.0-52.0","1920x1080","","3726.6999999999534","73.94","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","53","678816","0.0-53.0","1920x1080","","3167.0999999999767","56.22","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","54","681752","0.0-54.0","1920x1080","","2935.0999999999767","93.78","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","55","693313","0.0-55.0","1920x1080","","11559.800000000047","30","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","56","698979","0.0-56.0","1920x1080","","5664.800000000047","2.38","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","57","703562","0.0-57.0","1920x1080","","4581.599999999977","79.63","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","58","706480","0.0-58.0","1920x1080","","2917.4000000000233","72.35","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","59","711841","0.0-59.0","1920x1080","","5359.800000000047","40.08","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","60","717144","0.0-60.0","1920x1080","","5303.600000000093","19.97","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","61","721995","0.0-61.0","1920x1080","","4849.699999999953","76.32","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","62","727367","0.0-62.0","1920x1080","","5371.70000000007","14.29","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","63","730336","0.0-63.0","1920x1080","","2967.5","100","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","64","737216","0.0-64.0","1920x1080","","6878.599999999977","5.95","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","65","745962","0.0-65.0","1920x1080","","8745.20000000007","16","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","66","754496","0.0-66.0","1920x1080","","8533.100000000093","32","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","67","759448","0.0-67.0","1920x1080","","4950.300000000047","2.25","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","68","765400","0.0-68.0","1920x1080","","5951.400000000023","80.42","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","69","770962","0.0-69.0","1920x1080","","5561.199999999953","60.19","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","70","777052","0.0-70.0","1920x1080","","6084.800000000047","68.25","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","71","781700","0.0-71.0","1920x1080","","4647.29999999993","75.79","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","72","784820","0.0-72.0","1920x1080","","3119.0999999999767","91.53","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","73","788618","0.0-73.0","1920x1080","","3796.8000000000466","81.88","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","74","792436","0.0-74.0","1920x1080","","3816.1999999999534","83.86","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","75","798228","0.0-75.0","1920x1080","","5791.5","96","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","76","803076","0.0-76.0","1920x1080","","4847.099999999977","16.14","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","77","806750","0.0-77.0","1920x1080","","3672.399999999907","29.50","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","78","810220","0.0-78.0","1920x1080","","3469.5999999999767","44.44","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","79","814583","0.0-79.0","1920x1080","","4361.5","88.10","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","80","819772","0.0-80.0","1920x1080","","5188","94.18","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","81","824204","0.0-81.0","1920x1080","","4431.400000000023","19.84","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","html-button-response","82","843745","0.0-82.0","1920x1080","","19535","","<div class=""intro"">You are about to view a new series of animations.<br><br></div><div class=""intro"">You will evaluate them based on a different descriptor.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">RELAXING</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Relaxing<br></div><div class=""intro"">1 = Most Relaxing<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div>","0","",""
"","","","","","call-function","83","843746","0.0-83.0","1920x1080","","","","","","",""
"","","","","","animation","84","862680","0.0-84.0","1920x1080","","18934","91.80","img/314/5.5/2/bw/001.png","","","relaxing"
"","","","","","animation","85","869824","0.0-85.0","1920x1080","","7142.699999999953","96","img/314/5.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","86","884905","0.0-86.0","1920x1080","","15079.099999999977","58","img/117/4/2/bw/001.png","","","relaxing"
"","","","","","animation","87","893056","0.0-87.0","1920x1080","","8150.199999999953","12.04","img/238/3.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","88","899190","0.0-88.0","1920x1080","","6134.399999999907","18.12","img/117/4/0.5/bw/001.png","","","relaxing"
"","","","","","animation","89","906006","0.0-89.0","1920x1080","","6815","87.57","img/117/5.5/2/bw/001.png","","","relaxing"
"","","","","","animation","90","912678","0.0-90.0","1920x1080","","6670.900000000023","70.24","img/238/4.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","91","921638","0.0-91.0","1920x1080","","8958.20000000007","74.07","img/238/5.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","92","925870","0.0-92.0","1920x1080","","4231","27.65","img/314/4.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","93","931334","0.0-93.0","1920x1080","","5462.79999999993","0.00","img/117/2.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","94","935469","0.0-94.0","1920x1080","","4134.400000000023","0.13","img/117/2.5/0.66667/bw/001.png","","","relaxing"
