"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","43891","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","94122","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","136227","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","1705539","0.0-3.0","1920x1080","11:33 31/10/2022","","","","","",""
"","","","","","survey-html-form","4","1718719","0.0-4.0","1920x1080","","13177","{""age"":""18"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","1773239","0.0-5.0","1920x1080","","54518.5","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","1773240","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","1820288","0.0-7.0","1920x1080","","47044.80000000028","72.62","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","8","1827191","0.0-8.0","1920x1080","","6902.600000000093","59","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","1831879","0.0-9.0","1920x1080","","4686.899999999907","48.02","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","1838583","0.0-10.0","1920x1080","","6703.100000000093","86.38","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","11","1859871","0.0-11.0","1920x1080","","21287","89","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","12","1865783","0.0-12.0","1920x1080","","5910.9000000003725","83.99","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","1873583","0.0-13.0","1920x1080","","7799.200000000186","74","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","14","1891214","0.0-14.0","1920x1080","","17631.100000000093","91.80","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","1907190","0.0-15.0","1920x1080","","15975.600000000093","50","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","16","1964528","0.0-16.0","1920x1080","","57336","51.46","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","17","1972224","0.0-17.0","1920x1080","","7694.200000000186","58.07","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","1983375","0.0-18.0","1920x1080","","11150.899999999907","91.01","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","19","1988575","0.0-19.0","1920x1080","","5199","24.47","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","20","1994615","0.0-20.0","1920x1080","","6039","59","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","21","1998815","0.0-21.0","1920x1080","","4199.100000000093","68.25","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","22","2010387","0.0-22.0","1920x1080","","11575.899999999907","11","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","2014963","0.0-23.0","1920x1080","","4574.899999999907","42.72","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","24","2019539","0.0-24.0","1920x1080","","4575.5","57","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","2027124","0.0-25.0","1920x1080","","7584.399999999907","12","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","26","2035826","0.0-26.0","1920x1080","","8701.200000000186","47.75","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","27","2040210","0.0-27.0","1920x1080","","4383.100000000093","3.57","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","28","2046226","0.0-28.0","1920x1080","","6015.200000000186","36.64","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","29","2053724","0.0-29.0","1920x1080","","7496.899999999907","25","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","30","2064219","0.0-30.0","1920x1080","","10493.799999999814","91.80","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","31","2073368","0.0-31.0","1920x1080","","9144.899999999907","100","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","32","2080127","0.0-32.0","1920x1080","","6756.899999999907","0","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","33","2084838","0.0-33.0","1920x1080","","4709.9000000003725","36.90","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","34","2088958","0.0-34.0","1920x1080","","4119.399999999907","29.76","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","35","2096511","0.0-35.0","1920x1080","","7552.09999999986","23","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","36","2105758","0.0-36.0","1920x1080","","9245.899999999441","41","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","37","2109150","0.0-37.0","1920x1080","","3391.100000000559","38","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","38","2114046","0.0-38.0","1920x1080","","4894.9000000003725","56.61","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","39","2116950","0.0-39.0","1920x1080","","2903.100000000559","60.45","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","40","2125198","0.0-40.0","1920x1080","","8247.100000000559","98","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","41","2161957","0.0-41.0","1920x1080","","36758.299999999814","53.84","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","42","2166943","0.0-42.0","1920x1080","","4984.5999999996275","8.20","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","43","2172997","0.0-43.0","1920x1080","","6053","51.59","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","44","2179469","0.0-44.0","1920x1080","","6471.299999999814","0.53","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","45","2186405","0.0-45.0","1920x1080","","6935.200000000186","2","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","46","2199305","0.0-46.0","1920x1080","","12903.5","35","img/314/4/2/bw/001.png","","","complex"
