"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","20897","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","40706","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","61722","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","212278","0.0-3.0","1920x1080","10:10 2/11/2022","","","","","",""
"","","","","","survey-html-form","4","224309","0.0-4.0","1920x1080","","12027.400000000023","{""age"":""19"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","288509","0.0-5.0","1920x1080","","64198.79999999999","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","288509","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","295045","0.0-7.0","1920x1080","","6532.599999999977","15.34","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","8","299996","0.0-8.0","1920x1080","","4950.699999999953","2.65","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","9","304316","0.0-9.0","1920x1080","","4318.600000000035","41.67","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","10","312740","0.0-10.0","1920x1080","","8422.899999999965","4.89","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","11","318501","0.0-11.0","1920x1080","","5759.700000000012","48.41","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","322068","0.0-12.0","1920x1080","","3566.2999999999884","23.41","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","13","327868","0.0-13.0","1920x1080","","5798.799999999988","63.10","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","14","331108","0.0-14.0","1920x1080","","3239.2000000000116","6.48","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","15","333548","0.0-15.0","1920x1080","","2439.3000000000466","8.47","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","16","337901","0.0-16.0","1920x1080","","4351.700000000012","2.12","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","341301","0.0-17.0","1920x1080","","3399","3.04","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","18","345092","0.0-18.0","1920x1080","","3790","42.86","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","19","352517","0.0-19.0","1920x1080","","7424.600000000035","35.71","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","20","357004","0.0-20.0","1920x1080","","4485.5","54.37","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","371884","0.0-21.0","1920x1080","","14879.599999999977","41.93","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","22","376364","0.0-22.0","1920x1080","","4478.799999999988","15.74","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","380252","0.0-23.0","1920x1080","","3886.9000000000233","54.23","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","24","384548","0.0-24.0","1920x1080","","4295.700000000012","72.09","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","25","388717","0.0-25.0","1920x1080","","4167.699999999953","48.54","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","26","395436","0.0-26.0","1920x1080","","6718.299999999988","67","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","27","398164","0.0-27.0","1920x1080","","2727.4000000000233","45.11","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","28","403420","0.0-28.0","1920x1080","","5119.799999999988","67.72","img/314/4/0.66667/bw/001.png","","","complex"
