"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5976","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12127","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18048","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","214255","0.0-3.0","1920x1080","11:26 3/11/2022","","","","","",""
"","","","","","survey-html-form","4","221493","0.0-4.0","1920x1080","","7235.399999991059","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","276933","0.0-5.0","1920x1080","","55439","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","276933","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","314908","0.0-7.0","1920x1080","","37972.40000000596","64.02","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","8","320988","0.0-8.0","1920x1080","","6077.899999991059","27.38","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","326891","0.0-9.0","1920x1080","","5903.20000000298","80.29","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","10","349701","0.0-10.0","1920x1080","","22808.19999998808","60.58","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","11","355628","0.0-11.0","1920x1080","","5926.199999988079","64.02","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","361485","0.0-12.0","1920x1080","","5855.79999999702","45.90","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","371909","0.0-13.0","1920x1080","","10423.10000000894","82.80","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","378845","0.0-14.0","1920x1080","","6935.4000000059605","50.53","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","388052","0.0-15.0","1920x1080","","9206.79999999702","73.54","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","16","403509","0.0-16.0","1920x1080","","15455.5","73.15","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","17","421693","0.0-17.0","1920x1080","","18182.80000001192","56.35","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","18","425909","0.0-18.0","1920x1080","","4215","74.47","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","19","435533","0.0-19.0","1920x1080","","9623.300000011921","71.30","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","20","458596","0.0-20.0","1920x1080","","23063","69.97","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","21","469524","0.0-21.0","1920x1080","","10927","77.91","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","22","481901","0.0-22.0","1920x1080","","12376.39999999106","60.71","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","489556","0.0-23.0","1920x1080","","7654.199999988079","21.43","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","24","495372","0.0-24.0","1920x1080","","5815","17.33","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","25","499077","0.0-25.0","1920x1080","","3703.5","87.96","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","26","505213","0.0-26.0","1920x1080","","6135.100000008941","53.57","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","27","512877","0.0-27.0","1920x1080","","7663.5","91.53","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","28","516597","0.0-28.0","1920x1080","","3719.0999999940395","39.29","img/117/5.5/0.5/bw/001.png","","","complex"
