"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5967","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12234","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18135","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","729278","0.0-3.0","1920x1080","13:19 3/11/2022","","","","","",""
"","","","","","survey-html-form","4","740710","0.0-4.0","1920x1080","","11423.79999999702","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","839694","0.0-5.0","1920x1080","","98982.90000000596","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","839695","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","888198","0.0-7.0","1920x1080","","48502.09999999404","15.34","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","897446","0.0-8.0","1920x1080","","9246.5","85.85","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","9","905983","0.0-9.0","1920x1080","","8535.699999988079","45.11","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","10","934886","0.0-10.0","1920x1080","","28902.20000000298","5.95","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","11","944870","0.0-11.0","1920x1080","","9983","94.97","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","12","955646","0.0-12.0","1920x1080","","10775.699999988079","100","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","13","962190","0.0-13.0","1920x1080","","6543","100","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","14","987677","0.0-14.0","1920x1080","","25486.79999999702","31.61","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","15","992622","0.0-15.0","1920x1080","","4943.20000000298","100","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","16","998366","0.0-16.0","1920x1080","","5743.29999999702","0","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","17","1009542","0.0-17.0","1920x1080","","11174.89999999106","42.72","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","1028254","0.0-18.0","1920x1080","","18711.09999999404","56.75","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","19","1056718","0.0-19.0","1920x1080","","28463.09999999404","24.21","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","20","1061510","0.0-20.0","1920x1080","","4791.5","100","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","21","1066342","0.0-21.0","1920x1080","","4830.79999999702","100","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","22","1072446","0.0-22.0","1920x1080","","6103.5999999940395","90.61","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","23","1085157","0.0-23.0","1920x1080","","12711","0","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","24","1092382","0.0-24.0","1920x1080","","7223.100000008941","36.38","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","25","1095749","0.0-25.0","1920x1080","","3366.2999999970198","93.25","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","26","1124205","0.0-26.0","1920x1080","","28455.59999999404","58.99","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","27","1128254","0.0-27.0","1920x1080","","4047.7999999970198","100","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","1133885","0.0-28.0","1920x1080","","5630.699999988079","77.91","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","29","1149438","0.0-29.0","1920x1080","","15551.5","29.50","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","30","1154582","0.0-30.0","1920x1080","","5143","82.94","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","31","1164286","0.0-31.0","1920x1080","","9703.199999988079","31","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","32","1169422","0.0-32.0","1920x1080","","5135.0999999940395","0.53","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","33","1178710","0.0-33.0","1920x1080","","9287.199999988079","58.99","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","34","1187094","0.0-34.0","1920x1080","","8383.39999999106","87","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","35","1191949","0.0-35.0","1920x1080","","4854.899999991059","88.10","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","36","1200573","0.0-36.0","1920x1080","","8623.5","3.17","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","37","1210878","0.0-37.0","1920x1080","","10303.70000000298","91.40","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","38","1237917","0.0-38.0","1920x1080","","27038.60000000894","5.95","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","39","1242933","0.0-39.0","1920x1080","","5015.5999999940395","84","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","40","1249582","0.0-40.0","1920x1080","","6648.70000000298","50.53","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","41","1262790","0.0-41.0","1920x1080","","13206","13","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","42","1267358","0.0-42.0","1920x1080","","4567.0999999940395","53","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","43","1281094","0.0-43.0","1920x1080","","13735.5","0","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","44","1284342","0.0-44.0","1920x1080","","3247","100","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","45","1290486","0.0-45.0","1920x1080","","6143.100000008941","64.42","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","46","1294190","0.0-46.0","1920x1080","","3703.4000000059605","100","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","47","1298678","0.0-47.0","1920x1080","","4487","63.62","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","48","1303366","0.0-48.0","1920x1080","","4687.100000008941","100","img/117/2.5/0.66667/bw/001.png","","","complex"
