"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","52045","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","103287","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","156685","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","324690","0.0-3.0","1920x1080","10:43 4/11/2022","","","","","",""
"","","","","","survey-html-form","4","336137","0.0-4.0","1920x1080","","11444.900000000023","{""age"":""21"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","418151","0.0-5.0","1920x1080","","82175.09999999998","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","418151","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","432703","0.0-7.0","1920x1080","","14548.599999999977","23.15","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","8","441774","0.0-8.0","1920x1080","","9070.599999999977","35.58","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","9","449894","0.0-9.0","1920x1080","","8119.200000000012","42.99","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","10","453966","0.0-10.0","1920x1080","","4070.899999999965","43.25","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","11","465438","0.0-11.0","1920x1080","","11470.700000000012","48.54","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","12","472814","0.0-12.0","1920x1080","","7375.200000000012","49.74","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","13","478974","0.0-13.0","1920x1080","","6263","54.76","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","14","486350","0.0-14.0","1920x1080","","7375.099999999977","66.53","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","15","492774","0.0-15.0","1920x1080","","6423.5","44.58","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","16","501366","0.0-16.0","1920x1080","","8590.599999999977","67.86","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","17","505590","0.0-17.0","1920x1080","","4222.899999999907","29.50","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","18","510334","0.0-18.0","1920x1080","","4743.400000000023","70.50","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","19","514294","0.0-19.0","1920x1080","","3959.5999999999767","69.71","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","20","520134","0.0-20.0","1920x1080","","5838.800000000047","39.68","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","21","526190","0.0-21.0","1920x1080","","6055.70000000007","49.74","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","22","554646","0.0-22.0","1920x1080","","28559","45.90","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","23","561806","0.0-23.0","1920x1080","","7159.600000000093","20.37","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","565014","0.0-24.0","1920x1080","","3207.0999999999767","70.37","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","25","569222","0.0-25.0","1920x1080","","4207.29999999993","45.77","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","26","579446","0.0-26.0","1920x1080","","10222.800000000047","43","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","27","594438","0.0-27.0","1920x1080","","14991.29999999993","25.66","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","28","599287","0.0-28.0","1920x1080","","4935.300000000047","67.06","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","29","604089","0.0-29.0","1920x1080","","4800.399999999907","72.75","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","611287","0.0-30.0","1920x1080","","7197.599999999977","75.93","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","31","614711","0.0-31.0","1920x1080","","3423","74.60","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","32","618991","0.0-32.0","1920x1080","","4278.899999999907","69.18","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","33","630495","0.0-33.0","1920x1080","","11503.900000000023","60.45","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","34","636407","0.0-34.0","1920x1080","","5910.800000000047","36.11","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","35","642943","0.0-35.0","1920x1080","","6535.199999999953","67.33","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","36","659263","0.0-36.0","1920x1080","","16319.099999999977","32.94","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","37","669151","0.0-37.0","1920x1080","","9887.400000000023","31.22","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","38","671175","0.0-38.0","1920x1080","","2022.9000000000233","60.05","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","39","673463","0.0-39.0","1920x1080","","2287.5","63.10","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","40","675423","0.0-40.0","1920x1080","","1958.9000000000233","72.88","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","41","678551","0.0-41.0","1920x1080","","3127.5999999999767","65.48","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","42","683767","0.0-42.0","1920x1080","","5215","66","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","43","688519","0.0-43.0","1920x1080","","4751.300000000047","68.52","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","44","696367","0.0-44.0","1920x1080","","7846.900000000023","77.12","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","45","701407","0.0-45.0","1920x1080","","5038.600000000093","77","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","46","704615","0.0-46.0","1920x1080","","3207.8000000000466","68.52","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","47","706879","0.0-47.0","1920x1080","","2262.29999999993","75.79","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","48","709311","0.0-48.0","1920x1080","","2431.1999999999534","82.28","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","49","712751","0.0-49.0","1920x1080","","3439.5999999999767","65.34","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","50","715463","0.0-50.0","1920x1080","","2710.9000000000233","51.46","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","51","717471","0.0-51.0","1920x1080","","2007.2000000000698","69.84","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","52","720256","0.0-52.0","1920x1080","","2784.3000000000466","74.34","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","53","723151","0.0-53.0","1920x1080","","2894.20000000007","58.99","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","54","725656","0.0-54.0","1920x1080","","2503.79999999993","81.22","img/238/2.5/0.5/bw/001.png","","","complex"
