"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5919","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12045","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18036","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","215435","0.0-3.0","1920x1080","11:26 4/11/2022","","","","","",""
"","","","","","survey-html-form","4","228770","0.0-4.0","1920x1080","","13331.799999999814","{""age"":""21"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","295154","0.0-5.0","1920x1080","","66383.09999999963","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","295154","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","315905","0.0-7.0","1920x1080","","20749.799999999814","50.26","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","8","326074","0.0-8.0","1920x1080","","10167.200000000186","25.13","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","9","339402","0.0-9.0","1920x1080","","13326.700000000186","30.42","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","347209","0.0-10.0","1920x1080","","7807.100000000093","54.89","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","11","366025","0.0-11.0","1920x1080","","18815.100000000093","65.34","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","12","371273","0.0-12.0","1920x1080","","5247.700000000186","68","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","378161","0.0-13.0","1920x1080","","6886.800000000279","70.24","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","14","386017","0.0-14.0","1920x1080","","7855.300000000279","75.00","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","15","396961","0.0-15.0","1920x1080","","10943.299999999814","22.35","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","16","404033","0.0-16.0","1920x1080","","7071.300000000279","18.92","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","17","415426","0.0-17.0","1920x1080","","11391","44.05","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","18","419123","0.0-18.0","1920x1080","","3695.4000000003725","32.28","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","19","424922","0.0-19.0","1920x1080","","5799.100000000093","47.09","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","20","429147","0.0-20.0","1920x1080","","4223.300000000279","31.61","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","434578","0.0-21.0","1920x1080","","5430.899999999907","41.67","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","22","443091","0.0-22.0","1920x1080","","8512.299999999814","80.82","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","23","454139","0.0-23.0","1920x1080","","11046.69999999972","35.58","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","24","459531","0.0-24.0","1920x1080","","5391","80.56","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","475284","0.0-25.0","1920x1080","","15751.299999999814","30.29","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","26","479820","0.0-26.0","1920x1080","","4535.100000000093","46.03","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","27","490668","0.0-27.0","1920x1080","","10847.299999999814","17.06","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","28","503579","0.0-28.0","1920x1080","","12911","37.04","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","29","516388","0.0-29.0","1920x1080","","12807.600000000093","30.29","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","30","528027","0.0-30.0","1920x1080","","11638.599999999627","80","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","31","534117","0.0-31.0","1920x1080","","6086.800000000279","85","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","32","546829","0.0-32.0","1920x1080","","12711","48.41","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","33","550669","0.0-33.0","1920x1080","","3839.2000000001863","50","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","34","558765","0.0-34.0","1920x1080","","8095.300000000279","34.79","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","35","568845","0.0-35.0","1920x1080","","10079.200000000186","33.20","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","36","579005","0.0-36.0","1920x1080","","10159","33","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","37","587989","0.0-37.0","1920x1080","","8983.399999999907","31","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","38","592454","0.0-38.0","1920x1080","","4462.899999999907","61","img/117/3.5/0.66667/bw/001.png","","","complex"
