"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","29305","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","61503","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","98181","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","256209","0.0-3.0","1920x1080","13:2 4/11/2022","","","","","",""
"","","","","","survey-html-form","4","264852","0.0-4.0","1920x1080","","8640.699999988079","{""age"":""21"",""gender"":""f""}","","","",""
"","","","","","html-button-response","5","350004","0.0-5.0","1920x1080","","85150.90000003576","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","350005","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","386228","0.0-7.0","1920x1080","","36220.5","78.57","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","8","395203","0.0-8.0","1920x1080","","8974.099999964237","25.00","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","9","399851","0.0-9.0","1920x1080","","4647.199999988079","33.07","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","10","404771","0.0-10.0","1920x1080","","4919","1.59","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","410020","0.0-11.0","1920x1080","","5247.100000023842","0.40","img/314/5.5/0.66667/bw/001.png","","","complex"
