"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5910","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12015","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18034","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","268756","0.0-3.0","1920x1080","12:30 4/11/2022","","","","","",""
"","","","","","survey-html-form","4","280030","0.0-4.0","1920x1080","","11270.099999999627","{""age"":""18"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","378079","0.0-5.0","1920x1080","","98047.09999999963","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","378079","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","392902","0.0-7.0","1920x1080","","14822.299999999814","20","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","8","397110","0.0-8.0","1920x1080","","4206.799999999814","25","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","401078","0.0-9.0","1920x1080","","3967.100000000559","22","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","417230","0.0-10.0","1920x1080","","16151.099999999627","10","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","11","424534","0.0-11.0","1920x1080","","7303.100000000559","20","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","431742","0.0-12.0","1920x1080","","7208.100000000559","30","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","439190","0.0-13.0","1920x1080","","7446.9000000003725","19.97","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","14","444902","0.0-14.0","1920x1080","","5711.299999999814","23.68","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","15","449646","0.0-15.0","1920x1080","","4742.699999999255","29.63","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","16","462046","0.0-16.0","1920x1080","","12399.5","39.95","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","471086","0.0-17.0","1920x1080","","9039.799999999814","35","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","480302","0.0-18.0","1920x1080","","9215","25","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","19","490606","0.0-19.0","1920x1080","","10303.599999999627","30.16","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","20","496205","0.0-20.0","1920x1080","","5599.199999999255","29.89","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","21","505245","0.0-21.0","1920x1080","","9038.699999999255","25.40","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","509901","0.0-22.0","1920x1080","","4655.5999999996275","25.26","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","23","520653","0.0-23.0","1920x1080","","10751.299999999814","25","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","24","533829","0.0-24.0","1920x1080","","13175.100000000559","29.76","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","25","540437","0.0-25.0","1920x1080","","6607.5","26.85","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","26","550910","0.0-26.0","1920x1080","","10471.599999999627","35.32","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","27","560174","0.0-27.0","1920x1080","","9262.799999999814","39.81","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","28","579526","0.0-28.0","1920x1080","","19351","25.26","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","29","585502","0.0-29.0","1920x1080","","5975.399999999441","44.58","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","30","593054","0.0-30.0","1920x1080","","7551.0999999996275","24.60","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","31","597630","0.0-31.0","1920x1080","","4575","10.19","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","32","602902","0.0-32.0","1920x1080","","5271.399999999441","25.40","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","33","608118","0.0-33.0","1920x1080","","5214.799999999814","29.89","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","34","617701","0.0-34.0","1920x1080","","9583.099999999627","25.00","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","35","623949","0.0-35.0","1920x1080","","6247.5999999996275","19.71","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","36","657293","0.0-36.0","1920x1080","","33343.10000000056","29.76","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","37","666109","0.0-37.0","1920x1080","","8815.100000000559","59.52","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","38","672598","0.0-38.0","1920x1080","","6487.399999999441","25.40","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","39","678046","0.0-39.0","1920x1080","","5447.0999999996275","25.26","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","40","681526","0.0-40.0","1920x1080","","3479.100000000559","25.26","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","41","687719","0.0-41.0","1920x1080","","6191.5","59.66","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","42","697534","0.0-42.0","1920x1080","","9815","44.97","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","43","710607","0.0-43.0","1920x1080","","13071.299999999814","30.03","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","44","718078","0.0-44.0","1920x1080","","7470.5999999996275","29","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","45","722710","0.0-45.0","1920x1080","","4631.100000000559","15.48","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","46","728446","0.0-46.0","1920x1080","","5734.899999999441","10.32","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","47","734776","0.0-47.0","1920x1080","","6329.100000000559","19.84","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","48","743695","0.0-48.0","1920x1080","","8917.599999999627","15.08","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","49","752393","0.0-49.0","1920x1080","","8697.099999999627","15","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","50","761107","0.0-50.0","1920x1080","","8712.900000000373","44.58","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","51","765207","0.0-51.0","1920x1080","","4098.200000000186","10.19","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","52","770511","0.0-52.0","1920x1080","","5303","25.26","img/314/4/0.66667/bw/001.png","","","complex"
