"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"4",72.35,10429.5,"complex","0.5","314",78,"1.4","D~1.4"
"2.5",94.05,7198.40000000037,"complex","1.5","238",78,"1.8","D~1.8"
"2.5",99,27142.7999999998,"complex","0.66667","314",78,"1.8","D~1.8"
"4.5",1.98,7390.70000000019,"complex","1","238",78,"1.2","D~1.2"
"4",40,10759.5,"complex","1","314",78,"1.4","D~1.4"
"3.5",75.4,4031,"complex","1","117",78,"1.6","D~1.6"
"4.5",13,11230.5,"complex","0.5","314",78,"1.2","D~1.2"
"3.5",77.65,3040.5,"complex","1.5","314",78,"1.6","D~1.6"
"4.5",2,4214.19999999972,"complex","2","238",78,"1.2","D~1.2"
"2.5",100,6070.79999999981,"complex","0.66667","238",78,"1.8","D~1.8"
"3.5",71.69,4255.39999999991,"complex","1","314",78,"1.6","D~1.6"
"4",55.95,2950.60000000009,"complex","1","117",78,"1.4","D~1.4"
"4",30.16,5574.80000000028,"complex","2","238",78,"1.4","D~1.4"
"4.5",50,5198.89999999991,"complex","0.5","238",78,"1.2","D~1.2"
"2.5",100,6423.30000000028,"complex","2","314",78,"1.8","D~1.8"
"2.5",100,3679,"complex","1.5","314",78,"1.8","D~1.8"
"4.5",36,10879.2000000002,"complex","2","314",78,"1.2","D~1.2"
"4",53.04,3324.89999999991,"complex","1.5","117",78,"1.4","D~1.4"
"5.5",49.87,13247.3999999999,"complex","0.5","238",78,"1","D~1.0"
"4.5",57.94,4495.10000000009,"complex","2","117",78,"1.2","D~1.2"
"5.5",50.4,17734.8999999999,"complex","0.66667","117",78,"1","D~1.0"
"3.5",92.46,2943.5,"complex","1.5","238",78,"1.6","D~1.6"
"4",69,9871,"complex","1.5","314",78,"1.4","D~1.4"
"3.5",96,7063.10000000009,"complex","0.5","314",78,"1.6","D~1.6"
"3.5",98,7950.89999999991,"complex","2","117",78,"1.6","D~1.6"
"4.5",26.59,5726.89999999991,"complex","1","117",78,"1.2","D~1.2"
"4",21,4319.39999999991,"complex","1.5","238",78,"1.4","D~1.4"
"5.5",50.26,8174.90000000037,"complex","0.5","314",78,"1","D~1.0"
"4.5",62.96,9519.60000000009,"complex","0.5","117",78,"1.2","D~1.2"
"4",40.08,5526.60000000009,"complex","2","117",78,"1.4","D~1.4"
"4",58,5319.20000000019,"complex","0.5","238",78,"1.4","D~1.4"
"2.5",100,3519.5,"complex","1.5","117",78,"1.8","D~1.8"
"2.5",100,3383.19999999972,"complex","0.5","238",78,"1.8","D~1.8"
"5.5",50,28742.8000000003,"complex","2","238",78,"1","D~1.0"
"2.5",100,3264,"complex","1","314",78,"1.8","D~1.8"
"4",60.32,5831.70000000019,"complex","0.66667","238",78,"1.4","D~1.4"
"5.5",50,7926.10000000009,"complex","1","314",78,"1","D~1.0"
"4.5",28.97,8597.89999999991,"complex","1.5","314",78,"1.2","D~1.2"
"4",64.42,2318.89999999991,"complex","0.66667","117",78,"1.4","D~1.4"
"4.5",62.04,4727.10000000009,"complex","0.66667","117",78,"1.2","D~1.2"
"2.5",99,3975,"complex","1","238",78,"1.8","D~1.8"
"3.5",87.83,2879.89999999991,"complex","1","238",78,"1.6","D~1.6"
"4.5",62.04,10726.5,"complex","0.66667","238",78,"1.2","D~1.2"
"4",73.68,14647.3000000003,"complex","0.66667","314",78,"1.4","D~1.4"
"2.5",100,7039,"complex","2","117",78,"1.8","D~1.8"
"4",59.13,4936.39999999991,"complex","1","238",78,"1.4","D~1.4"
"3.5",75.66,2231.70000000019,"complex","0.5","117",78,"1.6","D~1.6"
"5.5",50.26,14492.2000000002,"complex","0.66667","314",78,"1","D~1.0"
"5.5",50.13,17998.6000000001,"complex","1.5","238",78,"1","D~1.0"
"5.5",55.16,14133,"complex","2","314",78,"1","D~1.0"
"4.5",70.37,7303.10000000009,"complex","0.66667","314",78,"1.2","D~1.2"
"2.5",100,5438.60000000009,"complex","0.5","117",78,"1.8","D~1.8"
