"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"3.5",34.13,31798,"complex","2",238,"100",1.6,"D~1.6"
"5.5",10,10767.099999994,"complex","0.5",314,"100",1,"D~1.0"
"4",35.32,15894.8000000119,"complex","2",314,"100",1.4,"D~1.4"
"5.5",28.57,13271.5,"complex","0.66667",314,"100",1,"D~1.0"
"4.5",64.95,8599.5,"complex","0.66667",117,"100",1.2,"D~1.2"
"2.5",97,11175,"complex","1.5",238,"100",1.8,"D~1.8"
"4",38.62,9831,"complex","1",117,"100",1.4,"D~1.4"
"3.5",81,8783.19999998808,"complex","0.5",117,"100",1.6,"D~1.6"
"3.5",87,5319.40000000596,"complex","0.66667",117,"100",1.6,"D~1.6"
"4",52,5015.5,"complex","0.66667",314,"100",1.4,"D~1.4"
"3.5",47.09,6398.70000000298,"complex","2",117,"100",1.6,"D~1.6"
"2.5",85.98,5671.80000001192,"complex","2",117,"100",1.8,"D~1.8"
"4.5",11,9855.19999998808,"complex","0.66667",314,"100",1.2,"D~1.2"
"2.5",100,4591,"complex","1",117,"100",1.8,"D~1.8"
"3.5",46.83,7479.5,"complex","2",314,"100",1.6,"D~1.6"
"2.5",88.89,6087.5,"complex","2",314,"100",1.8,"D~1.8"
"2.5",100,5215.30000001192,"complex","1",238,"100",1.8,"D~1.8"
"3.5",46,8055.30000001192,"complex","1.5",238,"100",1.6,"D~1.6"
"4",70,11216.1000000089,"complex","0.66667",117,"100",1.4,"D~1.4"
"3.5",53.57,12894.799999997,"complex","1",117,"100",1.6,"D~1.6"
"5.5",2.91,22647.400000006,"complex","2",238,"100",1,"D~1.0"
"2.5",95,5078.90000000596,"complex","1.5",117,"100",1.8,"D~1.8"
"2.5",100,4863.20000000298,"complex","0.5",314,"100",1.8,"D~1.8"
"2.5",100,6239.5,"complex","0.66667",314,"100",1.8,"D~1.8"
"4.5",44.58,8582.89999999106,"complex","2",117,"100",1.2,"D~1.2"
"4.5",64,5486.5,"complex","0.5",314,"100",1.2,"D~1.2"
"4.5",88.49,18407.8999999911,"complex","0.66667",238,"100",1.2,"D~1.2"
"4",80.03,9558.59999999404,"complex","0.66667",238,"100",1.4,"D~1.4"
"4.5",42.33,8231.20000000298,"complex","2",314,"100",1.2,"D~1.2"
"3.5",28.31,22415.3999999911,"complex","1.5",117,"100",1.6,"D~1.6"
"3.5",81.48,6254.90000000596,"complex","0.5",314,"100",1.6,"D~1.6"
"5.5",1,7328.09999999404,"complex","0.66667",117,"100",1,"D~1.0"
"4",20.63,23101.8999999911,"complex","2",238,"100",1.4,"D~1.4"
"5.5",42.2,9687.40000000596,"complex","1.5",314,"100",1,"D~1.0"
"4.5",98,5256.69999998808,"complex","0.5",117,"100",1.2,"D~1.2"
"3.5",86.51,6341.59999999404,"complex","0.5",238,"100",1.6,"D~1.6"
"5.5",4,9303.09999999404,"complex","1",238,"100",1,"D~1.0"
"4",13.62,7870.39999999106,"complex","1.5",117,"100",1.4,"D~1.4"
"3.5",41,5407.70000000298,"complex","1",314,"100",1.6,"D~1.6"
"4",91.8,6126.79999999702,"complex","0.5",117,"100",1.4,"D~1.4"
"2.5",100,4487.20000000298,"complex","0.5",117,"100",1.8,"D~1.8"
"4.5",20,18919.3999999911,"complex","1.5",314,"100",1.2,"D~1.2"
"3.5",48.15,11998.900000006,"complex","1",238,"100",1.6,"D~1.6"
"4",50.4,7904.09999999404,"complex","0.5",314,"100",1.4,"D~1.4"
"3.5",20.24,7310.19999998808,"complex","1.5",314,"100",1.6,"D~1.6"
"5.5",2,12086.799999997,"complex","1.5",238,"100",1,"D~1.0"
"2.5",89.42,8016.40000000596,"complex","2",238,"100",1.8,"D~1.8"
"4",39.95,6973.59999999404,"complex","1.5",238,"100",1.4,"D~1.4"
"4",55.95,48902.299999997,"complex","2",117,"100",1.4,"D~1.4"
"5.5",0,7998.79999999702,"complex","2",314,"100",1,"D~1.0"
"4",28.44,11342.200000003,"complex","1.5",314,"100",1.4,"D~1.4"
"3.5",80.29,4392.90000000596,"complex","0.66667",238,"100",1.6,"D~1.6"
"2.5",90.74,4500.79999999702,"complex","1",314,"100",1.8,"D~1.8"
"4.5",58.99,8119.09999999404,"complex","1",238,"100",1.2,"D~1.2"
"3.5",78.57,5719.09999999404,"complex","0.66667",314,"100",1.6,"D~1.6"
"2.5",97,13327.200000003,"complex","0.5",238,"100",1.8,"D~1.8"
"5.5",3.04,8023.5,"complex","0.5",238,"100",1,"D~1.0"
"4.5",18.25,26431,"complex","1.5",117,"100",1.2,"D~1.2"
"5.5",23.94,11319.099999994,"complex","1",117,"100",1,"D~1.0"
"4",69.84,7246.5,"complex","0.5",238,"100",1.4,"D~1.4"
"5.5",3,9511.59999999404,"complex","2",117,"100",1,"D~1.0"
"4.5",23,11392.8999999911,"complex","1.5",238,"100",1.2,"D~1.2"
"5.5",15,10204.8000000119,"complex","1.5",117,"100",1,"D~1.0"
"4",48,18711.5,"complex","1",238,"100",1.4,"D~1.4"
